medcodeid,readterm,current,alcohol
106878015,Alcohol detoxification,current,1
110629012,Chronic alcoholism,current,1
117761000006116,Suspect alcohol abuse - denied,current,1
1221271018,Alcohol consumption,current,1
12878014,Alcoholism,current,1
138527014,Alcoholic cardiomyopathy,current,1
14103017,Alcoholic polyneuropathy,current,1
144179014,Heavy drinker,current,1
1484890014,Referral to community alcohol team,current,1
15243013,Alcohol withdrawal delirium,current,1
1538911000006119,Structured alcohol intervention,current,1
1662551000006113,Dental recall - excessive alcohol use,current,1
1675391000006112,Referral by community alcohol team,current,1
1680121000006110,Brief intervention for excessive alcohol consumptn completed,current,1
1680131000006113,Extended intervention for excessive alcohol consumptn complt,current,1
1704281000006117,Brief intervention for excessive alcohol consumptn declined,current,1
1724531000000116,Advised to abstain from alcohol consumption,current,1
1738341000000110,Increasing risk drinking,current,1
1738381000000119,Higher risk drinking,current,1
1738421000000111,Lower risk drinking,current,1
17390014,Acute alcoholic hepatitis,current,1
1745961000006111,Extended intervention for excessive alcohol consumption declined,current,1
1746481000000112,Referral to community alcohol team declined,current,1
1754191000006119,Extended interven for excessive alcohol consumption declined,current,1
1806211000006115,Unsuccessful attempts to reduce alcohol consumption,current,1
1808601000006116,OATP - Outpatient alcohol treatment program,current,1
1841341000006113,Epworth score - sitting quietly after lunch without alcohol,non,1
1899441000006114,AUDIT score-freq unable to stop drinking when started in last yr,current,1
1899471000006118,AUDIT score-freq of guilt or remorse after drinking in last year,current,1
1899491000006117,AUDIT score - injury to self/other as a result of drinking,current,1
1899501000006113,AUDIT score - others concerned about drinking/suggest cut down,current,1
1926131000006117,Refer to MH services deferred until alcohol misuse resolved,current,1
1954461000006112,Psychiatry/ toxicology/ drug and alcohol (primary group),current,1
1955011000006117,Drug/ alcohol (secondary group),current,1
1957791000006115,Reduced alcohol intake,current,1
1972151000006110,"Mental & behav dis due to use alcohol: acute intoxication, uncomplicated",current,1
1972161000006112,"Mental & behav dis due to use alcohol: acute intoxication, with trauma or other bodily injury",current,1
1972271000006112,"Mental & behav dis due to use alcohol: acute intoxication, with other medical complications",current,1
1973241000006113,"Mental & behav dis due to use alcohol: acute intoxication, with delirium",current,1
1973321000006113,"Mental & behav dis due to use alcohol: acute intoxication, with perceptual distortions",current,1
1973411000006110,"Mental & behav dis due to use alcohol: acute intoxication, with coma",current,1
1973441000006114,"Mental & behav dis due to use alcohol: acute intoxication, with convulsions",current,1
1973481000006115,"Mental & behav dis due to use alcohol: acute intoxication, pathological intoxication",current,1
1973701000006119,"Mental and behav dis due to use alcohol: dependence syndr, currently abstinent",current,1
1973811000006113,"Mental and behav dis due to use alcohol: dependence syndr, currently abstinent, but in a protected environment",current,1
1973871000006116,"Mental and behav dis due to use alcohol: dependence syndr, currently on a clinically supervised maintenance or replacement regime [controlled dependence]",current,1
1974021000006112,"Mental and behav dis due to use alcohol: dependence syndr, currently abstinent, but receiving treatment with aversive or blocking drugs",current,1
1974071000006113,"Mental and behav dis due to use alcohol: dependence syndr, currently using the substance [active dependence]",current,1
1974111000006117,"Mental and behav dis due to use alcohol: dependence syndr, continuous use",current,1
1974141000006118,"Mental and behav dis due to use alcohol: dependence syndr, episodic use [dipsomania]",current,1
1974191000006110,"Mental and behav dis due to use alcohol: withdrawal state, uncomplicated",current,1
1974231000006117,"Mental and behav dis due to use alcohol: withdrawal state, with convulsions",current,1
1974301000006117,"Mental & behav dis due to use alcohol: withdrawl state with delirium, without convulsions",current,1
1974521000006117,"Mental & behav dis due to use alcohol: withdrawl state with delirium, with convulsions",current,1
1975141000006117,"Mental & behav dis due to use alcohol: psychotic disorder, schizophrenia-like",current,1
1975181000006111,"Mental & behav dis due to use alcohol: psychotic disorder, predominantly delusional",current,1
1975291000006117,"Mental & behav dis due to use alcohol: psychotic disorder, predominantly hallucinatory",current,1
1975341000006119,"Mental & behav dis due to use alcohol: psychotic disorder, predominantly polymorphic",current,1
1975371000006110,"Mental & behav dis due to use alcohol: psychotic disorder, predominantly depressive symptoms",current,1
1975411000006111,"Mental & behav dis due to use alcohol: psychotic disorder, predominantly manic symptoms",current,1
1975461000006114,"Mental & behav dis due to use alcohol: psychotic disorder, mixed",current,1
1975511000006112,"Mental & behav dis due to use alcohol: resid & late-onset psychot dis, flashbacks",current,1
1975541000006111,"Mental & behav dis due to use alcohol: resid & late-onset psychot dis, personality or behaviour disorder",current,1
1975591000006119,"Mental & behav dis due to use alcohol: resid & late-onset psychot dis, dementia",current,1
1975661000006111,"Mental & behav dis due to use alcohol: resid & late-onset psychot dis, residual affective disorder",current,1
1976071000006119,"Mental & behav dis due to use alcohol: resid & late-onset psychot dis, other persisting cognitive impairment",current,1
1976111000006110,"Mental & behav dis due to use alcohol: resid & late-onset psychot dis, late-onset psychotic disorder",current,1
2007461000006118,SRH care activity - alcohol brief intervention,current,1
216585018,Under care of community alcohol team,current,1
217461000000118,Current non drinker,non,1
2222181000000110,Declines to state current alcohol consumption,current,1
223671000000110,Hangover (alcohol),current,1
226571000000116,Alcohol misuse - enhanced service completed,current,1
240741000006114,Patient advised about alcohol,current,1
2419601000000110,Specialist alcohol treatment service signposted,current,1
2454281000000112,Hospital attendance related to personal alcohol consumption,current,1
2462911000000112,Withdrawn from alcohol detoxification programme,current,1
250312016,Light drinker - 1-2u/day,current,1
250313014,Moderate drinker - 3-6u/day,current,1
250314015,Heavy drinker - 7-9u/day,current,1
250316018,Very heavy drinker - >9u/day,current,1
250317010,Stopped drinking alcohol,ex,1
250321015,Ex-trivial drinker (<1u/day),ex,1
250322010,Ex-light drinker - (1-2u/day),ex,1
250323017,Ex-moderate drinker - (3-6u/d),ex,1
250324011,Ex-heavy drinker - (7-9u/day),ex,1
