medcodeid,readterm,anaemia
504528016,Achlorhydric anaemia,1
497451015,Acquired aplastic anaemia,1
399225014,Acquired aplastic anaemia NOS,1
882021000006117,Acquired haem. anaemia NOS,1
294139015,Acquired haemolytic anaemia NOS,1
351137013,Acquired haemolytic anaemia with haemoglobinuria NEC,1
454071000006113,Acquired haemolytic anaemias,1
508873014,Acquired sideroblastic anaemia,1
399228011,Acute posthaemorrhagic anaemia,1
223491000000112,Addison's anaemia,1
1014371000006111,Adverse reaction to Drugs Used In Anaemias And Some Other Blood Disorders,1
1014421000006116,Adverse reaction to Drugs Used In Hypoplastic And Haemolytic Anaemias,1
1014381000006114,Adverse reaction to Drugs Used In Iron Deficiency Anaemia,1
1014411000006112,Adverse reaction to Drugs Used In Megaloblastic Anaemias,1
468571000006115,Adverse reaction to liver preps and other antianaemic agents,1
468581000006117,Adverse reaction to liver preps+other antianaemic agent NOS,1
479141000006117,Amino-acid deficiency anaemia,1
960301000006116,Anaemia,1
894411000006114,Anaemia - due to isoimm.,1
480731000006111,Anaemia - unspecified whether in pregnancy or the puerperium,1
882041000006112,Anaemia NOS,1
294004018,Anaemia due to disorders of nucleotide metabolism,1
293960017,Anaemia due to scurvy,1
306129014,Anaemia during pregnancy - baby delivered,1
306133019,Anaemia during pregnancy - baby not yet delivered,1
480781000006112,"Anaemia during pregnancy, childbirth and the puerperium",1
306138011,Anaemia during pregnancy/childbirth/puerperium NOS,1
294245016,Anaemia in neoplastic disease,1
451077018,Anaemia in ovarian carcinoma,1
480821000006118,Anaemia in the puerperium - baby delivered,1
480831000006115,Anaemia in the puerperium - baby previously delivered,1
931981000006110,Anaemia of chronic disease,1
991611000006116,Anaemia of chronic disease,1
494753011,Anaemia of prematurity,1
480851000006110,Anaemia screen,1
219151000000115,Anaemia screen,1
480871000006117,Anaemia secondary to chronic renal failure,1
454255014,Anaemia secondary to renal failure,1
399230013,Anaemia unspecified,1
480901000006117,Anaemia/blood screen NOS,1
881921000006111,Anaemias,1
988851000006114,Anaemias,1
324157010,Antianaemic poisoning NOS,1
448863016,Aplastic anaemia,1
294227016,Aplastic anaemia NOS,1
294190019,Aplastic anaemia due to chronic disease,1
399223019,Aplastic anaemia due to drugs,1
294198014,Aplastic anaemia due to infection,1
294202011,Aplastic anaemia due to radiation,1
294203018,Aplastic anaemia due to toxic cause,1
294148013,Aplastic and other anaemias,1
507619019,Asiderotic anaemia,1
294102016,Autoimmune haemolytic anaemia NOS,1
500191000006115,Autoimmune haemolytic anaemias,1
351107016,Biermer's congenital pernicious anaemia,1
293884012,Chlorotic anaemia,1
294251014,Chronic anaemia,1
293948018,Combined B12 and folate deficiency anaemia,1
582791000006119,Congenital Heinz-body anaemia,1
499626019,Congenital anaemia,1
316730019,Congenital anaemia from fetal blood loss,1
496498015,Congenital dyserythropoietic anaemia,1
