medcodeid,readterm,cancer
1960041000006116,AJCC tumour staging,1
441041000006116,"Accid cut,puncture,perf,h'ge - aspirate fluid/tiss, cath NOS",1
441141000006117,"Accid cut,puncture,perf,h'ge - injection or vaccination NOS",1
441201000006112,"Accid cut,puncture,perf,h'ge - other perfusion",1
446271000006110,"Accidental cut,puncture,perf,h'ge - puncture procedure NOS",1
446281000006113,"Accidental cut,puncture,perf,h'ge during catheterisation NOS",1
287021015,Acquired human immunodeficiency virus infection syndrome NOS,1
2460981000000118,Active surveillance of prostate cancer,1
456641000006119,Acute erythraemia and erythroleukaemia,1
476225016,Acute erythroid leukaemia,1
289964018,Acute leukaemia NOS,1
509741017,Acute lymphoid leukaemia,1
414220013,Acute monoblastic leukaemia,1
2534415018,Acute monocytic leukaemia,1
1815651000006110,Acute myeloblastic leukaemia,1
344846014,Acute myelofibrosis,1
201612010,Acute myeloid leukaemia,1
2872264019,Acute myeloid leukaemia with multilineage dysplasia,1
458201000006115,Acute myelomonocytic leukaemia,1
133678011,Acute panmyelosis,1
2532080014,Acute panmyelosis with myelofibrosis,1
459741000006115,Acute promyelocytic leukaemia,1
1773151000006112,Adenocarcinoma of lung,1
933251000006113,Adenocarcinoma of rectum,1
1488604019,Administration of cancer treatment,1
283540016,Admit radiotherapy emergency,1
289885019,Adult T-cell leukaemia,1
1815601000006111,Adult T-cell lymphoma/leukaemia (HTLV-1-associated),1
1014181000006112,Adverse reaction to Drugs Used In Malignant Disease And Immunosuppression,1
1014321000006110,Adverse reaction to Oestrogens In Malignant Diseases,1
1014331000006113,Adverse reaction to Progestogens In Malignant Disease,1
1014311000006119,Adverse reaction to Sex Hormones And Antagonists In Malignant Disease,1
2023171000006116,Agreement to participate in national cancer registry not applicable,1
2023161000006111,Agreement to participate in national cancer registry not known,1
289884015,Aleukaemic lymphoid leukaemia,1
289928019,Aleukaemic monocytic leukaemia,1
289908018,Aleukaemic myeloid leukaemia,1
2659763011,Alpha heavy chain disease,1
460119017,Ambulatory chemotherapy,1
451077018,Anaemia in ovarian carcinoma,1
380137014,Anal carcinoma,1
1780500014,Anal intraepithelial neoplasia grade I,1
1780499017,Anal intraepithelial neoplasia grade II,1
1788227011,Anal intraepithelial neoplasia grade III,1
134219012,Anaplasia of cervix,1
1815321000006110,"Anaplastic large cell lymphoma, ALK-negative",1
2168491000000113,"Anaplastic large cell lymphoma, ALK-positive",1
2534468012,Angioimmunoblastic T-cell lymphoma,1
288761012,Angiosarcoma of spleen,1
494336018,Antineoplastic antibiotic poisoning,1
324069016,Antineoplastic antibiotic poisoning NOS,1
287191010,Arthropod-borne disease NOS,1
260992011,Ascitic fluid: malignant cells,1
474604011,"Atypical chronic myeloid leukaemia, BCR/ABL negative",1
1140091000000112,Awaiting chemotherapy,1
1484959013,Awaiting radiotherapy,1
378182015,Ayala's disease,1
414160018,B-cell acute lymphoblastic leukaemia,1
414008012,B-cell chronic lymphocytic leukaemia,1
