medcodeid,readterm,dementia
483651010,Acute confusional state,1
294704013,Acute confusional state NOS,1
346929012,Alcoholic dementia NOS,1
297011014,Alcoholic encephalopathy,1
45046017,Alzheimer's disease,1
499946014,Alzheimer's disease with early onset,1
500317011,Alzheimer's disease with late onset,1
2290431000000110,Antipsychotic drug therapy for dementia,1
497559016,Arteriosclerotic dementia,1
294656010,Arteriosclerotic dementia NOS,1
294653019,Arteriosclerotic dementia with delirium,1
294655014,Arteriosclerotic dementia with depression,1
294654013,Arteriosclerotic dementia with paranoia,1
149347010,Binswanger's disease,1
1235534016,Binswanger's encephalopathy,1
415873013,Cerebral atrophy,1
399393010,Cerebral degeneration NOS,1
542651000006110,Cerebral degeneration due to Jakob - Creutzfeldt disease,1
542611000006114,Cerebral degeneration due to alcoholism,1
297012019,Cerebral degeneration due to beriberi,1
297013012,Cerebral degeneration due to cerebrovascular disease,1
297014018,Cerebral degeneration due to congenital hydrocephalus,1
542661000006112,Cerebral degeneration due to multifocal leucoencephalopathy,1
542671000006117,Cerebral degeneration due to myxoedema,1
297015017,Cerebral degeneration due to neoplastic disease,1
297018015,Cerebral degeneration due to vitamin B12 deficiency,1
296990017,Cerebral degeneration in Gaucher's disease,1
296994014,Cerebral degeneration in Hunter's disease,1
296991018,Cerebral degeneration in Niemann-Pick disease,1
636681000000117,Cerebral degeneration in Parkinson's disease,1
296996011,Cerebral degeneration in disease NOS,1
296993015,Cerebral degeneration in diseases EC,1
542741000006119,Cerebral degeneration in lipidoses EC,1
296992013,Cerebral degeneration in lipidosis NOS,1
296995010,Cerebral degeneration in mucopolysaccharidoses,1
542781000006113,Cerebral degeneration in other disease EC,1
297022013,Cerebral degeneration other disease NOS,1
882951000006110,Cerebral degenerations NOS,1
296958010,Cerebral degenerations usually manifest in childhood,1
296988018,Cerebral lipidoses NOS,1
882931000006115,Child cerebral degeneration,1
296999016,Childhood cerebral degenerations NOS,1
294668018,Chronic alcoholic brain syndrome,1
612521000006115,Delirium - acute organic,1
882171000006115,Dementia,1
1950571000006111,Dementia PDS (Scot) - peer support status,1
1950501000006117,Dementia PDS (Scot) - planning for future care status,1
1950711000006114,Dementia PDS (Scot) - planning future decision-making status,1
1950641000006119,Dementia PDS (Scot) - supporting community connections status,1
1950621000006114,Dementia PDS (Scot) peer support - other pillar status,1
1950611000006118,Dementia PDS (Scot) peer support - pillar not met (pt choice),1
1950631000006112,Dementia PDS (Scot) peer support - pillar status not known,1
1950581000006114,Dementia PDS (Scot) peer support status - pillar met,1
1950591000006112,Dementia PDS (Scot) peer support status - pillar partially met,1
1950601000006116,Dementia PDS (Scot) peer support-pillar not met (service reason),1
1950521000006110,Dementia PDS (Scot) planning future care - pillar partially met,1
1950511000006119,Dementia PDS (Scot) planning future care status - pillar met,1
1950651000006117,Dementia PDS (Scot) support community connections - pillar met,1
1950431000006114,Dementia PDS (Scot) understanding illness - pillar partially met,1
1950421000006111,Dementia PDS (Scot) understanding illness status - pillar met,1
1950761000006112,Dementia PDS plan future decision-making - other pillar status,1
1950771000006117,Dementia PDS plan future decision-making-pillar status not known,1
1950741000006113,Dementia PDS plan.futur decisn-mkng-pillar not met(servce reasn),1
1950751000006110,Dementia PDS plan.future decisn-making-pillar not met(pt choice),1
1950551000006118,Dementia PDS planning future care - other pillar status,1
1950541000006115,Dementia PDS planning future care - pillar not met (pt choice),1
1950561000006116,Dementia PDS planning future care - pillar status not known,1
1950531000006113,Dementia PDS planning future care-pillar not met(service reason),1
1950721000006118,Dementia PDS planning future decision-making - pillar met,1
1950731000006115,Dementia PDS planning future decisn-making -pillar partially met,1
1950691000006111,Dementia PDS support comm. connectns - other pillar status,1
1950701000006111,Dementia PDS support comm. connectns - pillar status not known,1
1950681000006113,Dementia PDS support comm. connectns-pillar not met (pt choice),1
1950661000006115,Dementia PDS support community connections -pillar partially met,1
1950671000006110,Dementia PDS supprt comm. connectns-pillar not met(servce reasn),1
1949751000006117,Dementia PDS transition - further PDS required,1
1949731000006112,Dementia PDS transition - progress to supported self management,1
1950481000006110,Dementia PDS understanding illness - other pillar status,1
1950461000006117,Dementia PDS understanding illness - pillar not met (pt choice),1
1950491000006113,Dementia PDS understanding illness - pillar status not known,1
1950451000006119,Dementia PDS understanding illness-pillar not met(service reasn),1
1950411000006115,Dementia PDS(Scot)-understanding illness/managing symptms status,1
