medcodeid,readterm,ihdb
6546111000006110,ACS - Acute coronary syndrome,1
3427201000006110,AMI - Acute myocardial infarction,1
4776011000006110,AP - Angina pectoris,1
4775931000006110,Aborted myocardial infarction,1
5935321000006110,Acute Q wave myocardial infarction,1
3343471000006110,Acute anteroapical myocardial infarction,1
299745015,Acute coronary insufficiency,1
931961000006117,Acute coronary syndrome,1
1488382011,Acute coronary syndrome,1
2663441000006110,Acute infarction of papillary muscle,1
3381601000006110,Acute myocardial infarction of anterior wall,1
3641641000006110,Acute myocardial infarction of anterolateral wall,1
4775891000006110,Acute myocardial infarction of atrium,1
3699911000006110,Acute myocardial infarction of diaphragmatic wall,1
3565871000006110,Acute myocardial infarction of inferolateral wall,1
3745741000006110,Acute myocardial infarction of inferoposterior wall,1
3452181000006110,Acute myocardial infarction of lateral wall,1
3784911000006110,Acute myocardial infarction of septum,1
3784921000006110,Acute myocardial infarction of septum alone,1
3645351000006110,Acute nontransmural infarction,1
4775971000006110,Angina,1
7966931000006110,Angina associated with type 2 diabetes mellitus,1
7966941000006110,Angina associated with type II diabetes mellitus,1
482811000006113,Angina at rest,1
498328016,Angina at rest,1
98087016,Angina decubitus,1
299763015,Angina decubitus NOS,1
5887641000006110,Angina of effort,1
442204010,Angina on effort,1
299757012,Angina pectoris,1
482941000006119,Angina pectoris NOS,1
299765010,Angina pectoris NOS,1
3458791000006110,Anginal chest pain at rest,1
4776001000006110,Anginal syndrome,1
3371371000006110,Arteriosclerotic heart disease,1
2536393012,Arteriosclerotic heart disease,1
459859010,Asymptomatic coronary heart disease,1
5056261000006110,Asymptomatic ischaemia,1
5056251000006110,Asymptomatic ischemia,1
7278491000006110,Atherosclerosis of coronary artery,1
89332015,Atherosclerotic heart disease,1
12220771000006100,Atrial septal defect due to and following acute myocardial infarction,1
498031000006112,Atrial septal defect/curr comp folow acut myocardal infarct,1
7508001000006110,CABG (Coronary artery bypass grafting) planned,1
7508021000006110,CABG (coronary artery bypass graft) operation planned,1
