medcodeid,readterm,oa
866121000033115,*Osteoarthritis Nosode,1
1032881000006119,Adverse reaction to *Osteoarthritis Nosode,1
1120511000006115,Adverse reaction to *Osteoarthritis Nosode,1
359385016,Ankle osteoarthritis NOS,1
370721000000116,Delivery of rehabilitation for osteoarthritis,1
221491000000111,Elbow osteoarthritis NOS,1
932071000006116,Exacerbation of osteoarthritis,1
1785201000006112,Excepted fr osteoarthritis quality indicators: pt unsuitable,1
1785211000006110,Excepted osteoarthritis quality indicators: informed dissent,1
1785191000006114,Exception reporting: osteoarthritis quality indicators,1
359389010,Finger osteoarthritis NOS,1
359384017,Foot osteoarthritis NOS,1
800731000006117,Generalised osteoarthritis - OA,1
309880013,Generalised osteoarthritis NOS,1
800751000006112,Generalised osteoarthritis of multiple sites,1
400175010,Generalised osteoarthritis of the hand,1
309862016,Generalised osteoarthritis of unspecified site,1
251795011,H/O: osteoarthritis,1
221511000000115,Hip osteoarthritis NOS,1
221521000000114,Knee osteoarthritis NOS,1
309942011,"Localised osteoarthritis, unspecified",1
309971012,"Localised osteoarthritis, unspecified, NOS",1
736701000006117,"Localised osteoarthritis, unspecified, of other spec site",1
736711000006119,"Localised osteoarthritis, unspecified, of shoulder region",1
309965018,"Localised osteoarthritis, unspecified, of the ankle and foot",1
309950019,"Localised osteoarthritis, unspecified, of the forearm",1
309953017,"Localised osteoarthritis, unspecified, of the hand",1
400181019,"Localised osteoarthritis, unspecified, of the lower leg",1
309949019,"Localised osteoarthritis, unspecified, of the upper arm",1
309945013,"Localised osteoarthritis, unspecified, of unspecified site",1
736781000006114,"Localised osteoarthritis, unspecified, pelvic region/thigh",1
309881012,"Localised, primary osteoarthritis",1
309911018,"Localised, primary osteoarthritis NOS",1
457122015,"Localised, primary osteoarthritis of elbow",1
309899016,"Localised, primary osteoarthritis of other specified site",1
309898012,"Localised, primary osteoarthritis of the ankle and foot",1
309889014,"Localised, primary osteoarthritis of the forearm",1
309892013,"Localised, primary osteoarthritis of the hand",1
309896011,"Localised, primary osteoarthritis of the lower leg",1
