medcodeid,smokstatus,readterm,smoking
1974841000006114,current smoker,mental & behav dis due to tobacco: resid & late-onset psychot dis",1
1974931000006114,current smoker,mental & behav dis due to tobacco: resid & late-onset psychot dis",1
1974981000006110,current smoker,mental & behav dis due to tobacco: resid & late-onset psychot dis",1
1974871000006118,current smoker,mental & behav dis due to tobacco: resid & late-onset psychot dis",1
1974911000006115,current smoker,mental & behav dis due to tobacco: resid & late-onset psychot dis",1
1974961000006117,current smoker,mental & behav dis due to tobacco: resid & late-onset psychot dis",1
1974571000006116,current smoker,mental & behav dis due to tobacco: withdrawl state wth delirium",1
1974581000006118,current smoker,mental & behav dis due to tobacco: withdrawl state wth delirium",1
1973821000006117,current smoker,mental & behav dis due to use tobacco: acute intoxication",1
1974031000006110,current smoker,mental & behav dis due to use tobacco: acute intoxication",1
1973981000006113,current smoker,mental & behav dis due to use tobacco: acute intoxication",1
1973951000006117,current smoker,mental & behav dis due to use tobacco: acute intoxication",1
1973841000006112,current smoker,mental & behav dis due to use tobacco: acute intoxication",1
1973921000006114,current smoker,mental & behav dis due to use tobacco: acute intoxication",1
1973851000006114,current smoker,mental & behav dis due to use tobacco: acute intoxication",1
1974761000006115,current smoker,mental & behav dis due to use tobacco: psychotic disorder",1
1974681000006119,current smoker,mental & behav dis due to use tobacco: psychotic disorder",1
1974651000006110,current smoker,mental & behav dis due to use tobacco: psychotic disorder",1
1974741000006119,current smoker,mental & behav dis due to use tobacco: psychotic disorder",1
1974791000006111,current smoker,mental & behav dis due to use tobacco: psychotic disorder",1
1974811000006110,current smoker,mental & behav dis due to use tobacco: psychotic disorder",1
1974711000006118,current smoker,mental & behav dis due to use tobacco: psychotic disorder",1
1974461000006110,current smoker,mental and behav dis due to use tobacco: dependence syndr",1
1974371000006111,current smoker,mental and behav dis due to use tobacco: dependence syndr",1
1974311000006119,current smoker,mental and behav dis due to use tobacco: dependence syndr",1
1974341000006115,current smoker,mental and behav dis due to use tobacco: dependence syndr",1
