medcodeid,readterm,stroke
300363010,Anterior cerebral artery syndrome,1
4777811000006117,Basal ganglia hemorrhage,1
6837061000006117,Basal ganglion infarct,1
6837051000006119,Basal ganglion stroke,1
503791000006114,Basal nucleus haemorrhage,1
3964611000006111,Binswanger's dementia,1
149347010,Binswanger's disease,1
1235534016,Binswanger's encephalopathy,1
4057031000006117,Brain stem infarct,1
4057041000006110,Brain stem stroke,1
524511000006116,Brain stem stroke syndrome,1
524541000006117,Brainstem infarction,1
345650013,Brainstem infarction NOS,1
483988011,Bulbar haemorrhage,1
3662331000006119,CT - Cerebral thrombosis,1
605491000006113,CVA - Cerebrovascular accident unspecified,1
605461000006117,CVA - cerebral artery occlusion,1
605471000006112,CVA - cerebrovascular accid due to intracerebral haemorrhage,1
605481000006110,CVA - cerebrovascular accident in the puerperium,1
605501000006117,CVA unspecified,1
542251000006112,"Cereb infarct due cerebral venous thrombosis, nonpyogenic",1
542261000006114,Cereb infarct due unsp occlus/stenos precerebr arteries,1
502878012,Cerebellar haemorrhage,1
3719851000006116,Cerebellar hemorrhage,1
158118014,Cerebellar infarction,1
300366019,Cerebellar stroke syndrome,1
3728451000006116,Cerebral arterial embolism,1
1222398015,Cerebral arterial occlusion,1
3662321000006117,Cerebral arterial thrombosis,1
125470015,Cerebral embolism,1
542831000006116,Cerebral embolus,1
989201000006117,Cerebral haemorrhage,1
884421000006119,Cerebral haemorrhage,1
989211000006119,Cerebral haemorrhage NOS,1
12762021000006116,Cerebral hemorrhage,1
13031191000006112,Cerebral hemorrhage,1
300312010,Cerebral infarct due to thrombosis of precerebral arteries,1
395780010,Cerebral infarction NOS,1
300322016,Cerebral infarction due to embolism of cerebral arteries,1
300313017,Cerebral infarction due to embolism of precerebral arteries,1
300321011,Cerebral infarction due to thrombosis of cerebral arteries,1
118689010,Cerebral thrombosis,1
543141000006110,Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,1
5011021000006113,Cerebrovascular accident due to cerebral artery occlusion,1
11878511000006113,Cerebrovascular accident due to occlusion of cerebral artery,1
3964671000006119,Chronic progressive subcortical encephalopathy,1
495394013,Cortical haemorrhage,1
3299621000006119,Cortical hemorrhage,1
