medcodeid,term,t2d
356119011,Abnormal metabolic state in diabetes mellitus,1
3513752015,Absence of lower limb due to diabetes mellitus (disorder),1
3636752017,Acute complication with diabetes mellitus,1
3636751012,Acute complication with diabetes mellitus,1
297550019,Acute painful diabetic neuropathy,1
297755010,Advanced diabetic maculopathy,1
14071371000006113,Advanced diabetic maculopathy,1
455408014,Advanced diabetic retinal disease,1
14071341000006117,Asymptomatic diabetic neuropathy,1
297552010,Asymptomatic diabetic neuropathy,1
12078961000006117,Bilateral diabetic cataracts,1
19931010,Brittle diabetes,1
2683581000006112,Brittle diabetes,1
72651000006114,Brittle diabetes,1
2683561000006119,Brittle diabetes,1
2683591000006110,Brittle diabetes,1
429972014,Brittle diabetes,1
411891014,Brittle diabetes,1
3292081000006115,Bullosis diabeticorum,1
12078901000006118,Cataract of right eye co-occurrent and due to diabetes mellitus,1
14071441000006113,Cellulitis in diabetic foot,1
308360012,Cellulitis in diabetic foot,1
14071331000006110,Chronic painful diabetic neuropathy,1
297551015,Chronic painful diabetic neuropathy,1
354509014,Clinical diabetic nephropathy,1
13791991000006116,Clinical diabetic nephropathy,1
354508018,Clinical diabetic nephropathy,1
12102571000006117,Clinically significant macular edema co-occurrent and due to diabetes mellitus (disorder),1
2532967014,Clinically significant macular edema of right eye co-occurrent and due to diabetes mellitus (disorder),1
12705021000006112,Clinically significant macular edema of right eye co-occurrent and due to diabetes mellitus (disorder),1
12085891000006118,Clinically significant macular edema of right eye co-occurrent and due to diabetes mellitus (disorder),1
12085921000006112,Clinically significant macular oedema of left eye co-occurrent and due to diabetes mellitus,1
2532971012,Clinically significant macular oedema of left eye co-occurrent and due to diabetes mellitus,1
292488013,Coma associated with diabetes mellitus (disorder),1
121589010,Diabetes mellitus,1
772171000006114,Diabetes mellitus,1
292621010,Diabetes mellitus,1
616571000006118,Diabetes mellitus,1
881441000006111,Diabetes mellitus,1
772151000006116,Diabetes mellitus,1
293756010,Diabetes mellitus,1
616681000006116,Diabetes mellitus,1
77727018,Diabetes mellitus,1
913711000006112,Diabetes mellitus,1
787111000006112,Diabetes mellitus,1
13781000006113,Diabetes mellitus,1
3690681000006114,Diabetes mellitus,1
377001000006117,Diabetes mellitus,1
772161000006119,Diabetes mellitus,1
2287971000000119,Diabetes mellitus in remission (disorder),1
13751000006117,Diabetes mellitus with multiple complications (disorder),1
913531000006111,Diabetes mellitus with multiple complications (disorder),1
292565014,Diabetes mellitus with multiple complications (disorder),1
771381000006115,Diabetes mellitus with multiple complications (disorder),1
881521000006117,Diabetes mellitus with other specified manifestation (disorder),1
746791000006111,Diabetes mellitus without complication,1
292475010,Diabetes mellitus without complication,1
457327017,Diabetes mellitus without complication,1
292466013,Diabetes mellitus without complication,1
616731000006114,Diabetes monitoring first letter (procedure),1
5999771000006115,Diabetes monitoring invitation (procedure),1
1755441000006119,Diabetes monitoring invitation by short message service text messaging (procedure),1
8459531000006110,Diabetes monitoring invitation email (procedure),1
616741000006116,Diabetes monitoring second letter (procedure),1
8439941000006112,Diabetes monitoring short message service text message first invitation (procedure),1
8439961000006111,Diabetes monitoring short message service text message second invitation (procedure),1
8439971000006116,Diabetes monitoring short message service text message third invitation (procedure),1
616701000006118,Diabetes monitoring telephone invite (procedure),1
616751000006119,Diabetes monitoring third letter (procedure),1
616711000006115,Diabetes monitoring verbal invite (procedure),1
264707013,Diabetic - good control,1
401531012,Diabetic - poor control,1
5505651000006113,Diabetic - poor control,1
772181000006112,Diabetic - poor control,1
913681000006111,Diabetic - poor control,1
264716012,Diabetic - poor control,1
772131000006111,Diabetic Charcot's arthropathy,1
13790071000006114,Diabetic Charcot's arthropathy,1
4808921000006113,Diabetic Charcot's arthropathy,1
616971000006114,Diabetic Charcot's arthropathy,1
913981000006115,Diabetic Charcot's arthropathy,1
616921000006113,Diabetic amyotrophy,1
12180791000006114,Diabetic amyotrophy,1
65526011,Diabetic amyotrophy,1
14057771000006116,Diabetic amyotrophy,1
3319861000006118,Diabetic autonomic neuropathy,1
1230890017,Diabetic autonomic neuropathy,1
14058781000006117,Diabetic autonomic neuropathy,1
73294018,Diabetic cataract,1
913891000006113,Diabetic cataract,1
771341000006114,Diabetic cataract,1
5009561000006114,Diabetic chronic painful polyneuropathy,1
616381000006111,Diabetic coma with ketoacidosis,1
2920981000006117,Diabetic coma with ketoacidosis,1
881471000006115,Diabetic coma with ketoacidosis,1
14056961000006112,Diabetic coma with ketoacidosis,1
13811000006110,Diabetic complication,1
292617015,Diabetic complication,1
292626017,Diabetic complication,1
292622015,Diabetic complication,1
14060651000006114,Diabetic complication,1
1696331000006114,Diabetic dermopathy,1
7107831000006117,Diabetic education completed (situation),1
5634901000006116,Diabetic foot,1
764201000006110,Diabetic foot,1
