prodcodeid,productname,ace
13241000033114,Accupro 10mg tablets (Pfizer Ltd),1
13341000033116,Accupro 20mg tablets (Pfizer Ltd),1
11641000033111,Accupro 40mg tablets (Pfizer Ltd),1
13441000033110,Accupro 5mg tablets (Pfizer Ltd),1
10841000033119,Acepril 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),1
10941000033110,Acepril 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),1
11041000033117,Acepril 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),1
214141000033113,Capoten 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),1
214241000033118,Capoten 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),1
214341000033111,Capoten 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),1
5008141000033111,Captopril 10mg/5ml oral suspension,1
213441000033119,Captopril 12.5mg tablets,1
5898741000033114,Captopril 12.5mg/5ml oral solution,1
5898841000033116,Captopril 12.5mg/5ml oral suspension,1
5401641000033118,Captopril 15mg/5ml oral suspension,1
2719841000033113,Captopril 20mg/5ml oral suspension,1
214441000033117,Captopril 25mg tablets,1
3012741000033115,Captopril 25mg/5ml oral solution,1
9108041000033111,Captopril 25mg/5ml oral solution sugar free,1
5132041000033112,Captopril 25mg/5ml oral suspension,1
3940841000033110,Captopril 2mg capsules,1
3851341000033117,Captopril 3mg/5ml oral solution,1
5454041000033117,Captopril 4mg capsules,1
214541000033116,Captopril 50mg tablets,1
6001041000033115,Captopril 5mg/5ml oral solution,1
9108141000033110,Captopril 5mg/5ml oral solution sugar free,1
2656341000033110,Captopril 5mg/5ml oral suspension,1
5898941000033112,Captopril 6.25mg/5ml oral solution,1
5899041000033115,Captopril 6.25mg/5ml oral suspension,1
3333941000033117,Captopril 8mg/5ml oral suspension,1
5595341000033117,Captopril Oral Suspension Sugar Free 2 mg/ml,1
210541000033113,Captopril Tablets 1 mg,1
210741000033117,Captopril Tablets 2 mg,1
215941000033111,Carace 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),1
216041000033118,Carace 2.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),1
216141000033119,Carace 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),1
216241000033114,Carace 5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),1
258141000033110,Cilazapril 1mg tablets,1
258241000033115,Cilazapril 2.5mg tablets,1
258441000033119,Cilazapril 500microgram tablets,1
258641000033117,Cilazapril 5mg tablets,1
258341000033113,Cilazapril Tablets 250 micrograms,1
377541000033114,Coversyl 2mg tablets (Servier Laboratories Ltd),1
377641000033110,Coversyl 4mg tablets (Servier Laboratories Ltd),1
2846641000033111,Coversyl 8mg tablets (Servier Laboratories Ltd),1
4454441000033119,Coversyl Arginine 10mg tablets (Servier Laboratories Ltd),1
4454241000033115,Coversyl Arginine 2.5mg tablets (Servier Laboratories Ltd),1
4454341000033113,Coversyl Arginine 5mg tablets (Servier Laboratories Ltd),1
2945841000033112,Ecopace 12.5mg tablets (Advanz Pharma),1
2945941000033116,Ecopace 25mg tablets (Advanz Pharma),1
2946041000033114,Ecopace 50mg tablets (Advanz Pharma),1
1918441000033110,Ednyt Tablets 10 mg,1
1918241000033114,Ednyt Tablets 2.5 mg,1
1918541000033111,Ednyt Tablets 20 mg,1
1918341000033116,Ednyt Tablets 5 mg,1
6012441000033118,Enalapril 1.25mg/5ml oral solution,1
6012541000033117,Enalapril 1.25mg/5ml oral suspension,1
522641000033110,Enalapril 10mg tablets,1
5967041000033117,Enalapril 10mg/5ml oral solution,1
5967141000033118,Enalapril 10mg/5ml oral suspension,1
