prodcodeid,productname,alphab
2077541000033111,Alfuzosin,1
38141000033118,Alfuzosin,1
32541000033112,Alfuzosin,1
4504241000033115,Alphacard,1
37641000033110,Alphavase,1
37741000033118,Alphavase,1
37841000033111,Alphavase,1
37941000033115,Alphavase,1
116741000033118,Baratol,1
116841000033111,Baratol,1
3893741000033111,Bazetham,1
11799841000033112,Benph,1
11807841000033120,Benph,1
11807841000033119,Benph,1
3980441000033115,Besavar,1
4936841000033112,Cardozin,1
216741000033115,Cardura,1
216841000033113,Cardura,1
216941000033117,Cardura,1
2274041000033118,Cardura,1
2274141000033119,Cardura,1
2760041000033110,Cascor,1
2760141000033114,Cascor,1
5403641000033117,Colixil,1
4023841000033113,Contiflo,1
6065741000033115,Cositam,1
438441000033119,Dibenyline,1
450041000033112,Dibenyline,1
5330641000033110,Diffundox,1
480541000033110,Doralese,1
2957941000033110,Doxadura,1
2958041000033113,Doxadura,1
2958141000033112,Doxadura,1
4063741000033112,Doxadura,1
480641000033111,Doxazosin,1
9173941000033112,Doxazosin,1
9173941000033111,Doxazosin,1
4432941000033119,Doxazosin,1
480741000033119,Doxazosin,1
2273841000033111,Doxazosin,1
480841000033112,Doxazosin,1
8870641000033119,Doxazosin,1
5138341000033111,Doxazosin,1
2273941000033115,Doxazosin,1
12682141000033116,Doxazosin,1
12682141000033115,Doxazosin,1
4502341000033119,Doxazosin,1
4575941000033115,Doxzogen,1
6528741000033118,Faramsil,1
8271541000033118,Flectone,1
588741000033112,Flomax,1
3309641000033116,Flomaxtra,1
5816041000033114,Fuzatal,1
5566141000033113,Galebon,1
743641000033117,Hypovase,1
743741000033114,Hypovase,1
743541000033118,Hypovase,1
745941000033111,Hypovase,1
743841000033116,Hypovase,1
745641000033116,Hytrin,1
745741000033113,Hytrin,1
745841000033115,Hytrin,1
741041000033112,Hytrin,1
740941000033119,Hytrin,1
743941000033112,Hytrin,1
744041000033114,Hytrin,1
744141000033113,Hytrin,1
741141000033111,Hytrin,1
768541000033119,Indoramin,1
769841000033111,Indoramin,1
769941000033115,Indoramin,1
768441000033115,Indoramin,1
1619941000033111,Invicorp,1
1620041000033114,Invicorp,1
10617741000033112,Invicorp,1
7877741000033118,Kelanu,1
5809641000033111,Larbex,1
6138841000033117,Losinate,1
4936541000033110,Maxtron,1
4011341000033111,Morvesin,1
2946441000033117,Omnic,1
4288341000033111,Oxandosin,1
5811641000033114,Pamsvax,1
5817041000033111,Petyme,1
1074841000033115,Phenoxybenzamine,1
1070341000033119,Phenoxybenzamine,1
2757941000033118,Phenoxybenzamine,1
3940141000033116,Phenoxybenzamine,1
3108541000033116,Phentolamine,1
10617641000033120,Phentolamine,1
1074241000033119,Phentolamine,1
5836341000033119,Pinexel,1
1131441000033112,Prazosin,1
1131541000033113,Prazosin,1
1131341000033118,Prazosin,1
11567441000033119,Prazosin,1
11567441000033120,Prazosin,1
1131641000033114,Prazosin,1
1128241000033117,Prazosin,1
1128141000033112,Prazosin,1
5814441000033110,Prosurin,1
6036141000033119,Raporsin,1
1180941000033115,Rogitine,1
4021141000033118,Slocinx,1
8960641000033119,Solifenacin,1
3892641000033110,Stronazon,1
3891841000033119,Tabphyn,1
1406241000033110,Tamsulosin,1
3342941000033112,Tamsulosin,1
9201141000033116,Tamsulosin,1
9201141000033115,Tamsulosin,1
11524441000033118,Tamsulosin,1
5844541000033118,Tamurex,1
1429041000033118,Terazosin,1
1425341000033119,Terazosin,1
1423641000033114,Terazosin,1
1429141000033119,Terazosin,1
1423841000033110,Terazosin,1
1423741000033117,Terazosin,1
5851641000033117,Vasran,1
1543041000033110,Xatral,1
1543341000033112,Xatral,1
2077641000033112,Xatral,1
12477141000033113,Zochek,1
12477141000033112,Zochek,1
3992841000033117,Zufal,1
