prodcodeid,productname,antiplat
1941000033118,Abciximab 10mg/5ml solution for injection vials,1
2677141000033112,Aggrastat 12.5mg/250ml infusion bags (Correvio UK Ltd),1
4129741000033110,Aggrastat 12.5mg/50ml concentrate for solution for infusion vials (Correvio UK Ltd),1
1863441000033113,Aggrastat Injection 250 micrograms/ml,1
71241000033119,Angettes 75 tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),1
1571541000033117,Asasantin Retard capsules (Boehringer Ingelheim Ltd),1
86841000033118,Aspav dispersible tablets (Actavis UK Ltd),1
3162141000033112,Aspirin 150mg / Isosorbide mononitrate 60mg modified-release tablets,1
2013441000033114,Aspirin 150mg suppositories,1
82841000033117,Aspirin 300mg dispersible tablets,1
83141000033116,Aspirin 300mg gastro-resistant tablets,1
84441000033114,Aspirin 300mg modified-release tablets,1
2013341000033115,Aspirin 300mg suppositories,1
86641000033119,Aspirin 300mg tablets,1
3934341000033112,Aspirin 500mg / Codeine 8mg dispersible tablets sugar free,1
3849841000033110,Aspirin 500mg / Papaveretum 7.71mg dispersible tablets sugar free,1
3162041000033113,Aspirin 75mg / Isosorbide mononitrate 60mg modified-release tablets,1
82941000033113,Aspirin 75mg dispersible tablets,1
83041000033115,Aspirin 75mg gastro-resistant tablets,1
87041000033110,Aspirin 75mg tablets,1
3836841000033119,Aspirin 900mg / Metoclopramide 10mg oral powder sachets sugar free,1
5331041000033113,Aspirin And Vitamin C Effervescent tablets 330 mg + 200 mg,1
82641000033118,Aspirin Chewable tablets 227 mg,1
87141000033114,Aspirin Dispersible Low Dose Tablets 75 mg,1
85741000033118,Aspirin E/C Tablets 300 mg,1
88041000033114,Aspirin E/C Tablets 600 mg,1
84941000033116,Aspirin E/c tablets 324 mg,1
83241000033111,Aspirin E/c tablets 600 mg,1
84341000033115,Aspirin M/R tablets 100 mg,1
86941000033114,Aspirin Paracetamol And Codeine Tablets,1
4043341000033119,Aspirin Powder Sachets Lactose Free 75 mg,1
5151341000033116,Aspirin Protect E/c tablets 100 mg,1
87441000033118,Aspirin Tablets 500 mg,1
87541000033117,Aspirin Tablets 600 mg,1
2085241000033111,Aspirin powder,1
4431841000033118,Aspro Clear 300mg effervescent tablets (Bayer Plc),1
12352041000033117,Atransipar 200mg/25mg modified-release capsules (Par Laboratories Europe Ltd),1
