prodcodeid,productname,bb
3041000033115,Acebutolol 100mg capsules,1
3141000033116,Acebutolol 200mg capsules,1
10741000033112,Acebutolol 400mg tablets,1
6041000033113,Acebutolol Injection 5 mg/1 ml,1
70941000033117,Antipressan 100mg tablets (Teva UK Ltd),1
69441000033112,Antipressan 25mg tablets (Teva UK Ltd),1
71041000033110,Antipressan 50mg tablets (Teva UK Ltd),1
75341000033110,Apsolox Tablets 160 mg,1
75441000033116,Apsolox Tablets 20 mg,1
75541000033115,Apsolox Tablets 40 mg,1
75641000033119,Apsolox Tablets 80 mg,1
1572241000033113,Atenamin Tablets 100 mg,1
1572341000033115,Atenamin Tablets 25 mg,1
1572441000033114,Atenamin Tablets 50 mg,1
90541000033117,Atenix 100 tablets (Ashbourne Pharmaceuticals Ltd),1
91841000033113,Atenix 25 tablets (Ashbourne Pharmaceuticals Ltd),1
92541000033118,Atenix 50 tablets (Ashbourne Pharmaceuticals Ltd),1
91041000033118,Atenolol 100mg tablets,1
90641000033116,Atenolol 25mg tablets,1
90441000033118,Atenolol 25mg/5ml oral solution sugar free,1
91141000033119,Atenolol 50mg tablets,1
89541000033111,Atenolol 5mg/10ml solution for injection ampoules,1
12682341000033117,Bedranol 10mg tablets (Ennogen Pharma Ltd),1
12682741000033116,Bedranol 160mg tablets (Ennogen Pharma Ltd),1
12682441000033111,Bedranol 40mg tablets (Ennogen Pharma Ltd),1
12682641000033113,Bedranol 80mg tablets (Ennogen Pharma Ltd),1
124241000033112,Bedranol SR 160mg capsules (Sandoz Ltd),1
2711841000033114,Bedranol SR 80mg capsules (Sandoz Ltd),1
143941000033116,Beta-Cardone 200mg tablets (Advanz Pharma),1
144041000033119,Beta-Cardone 40mg tablets (Focus Pharmaceuticals Ltd),1
144141000033115,Beta-Cardone 80mg tablets (Focus Pharmaceuticals Ltd),1
133141000033117,Beta-Prograne 160mg modified-release capsules (Tillomed Laboratories Ltd),1
144341000033117,Betaloc 100mg tablets (AstraZeneca UK Ltd),1
144441000033111,Betaloc 50mg tablets (AstraZeneca UK Ltd),1
131141000033116,Betaloc I.V. 5mg/5ml solution for injection ampoules (AstraZeneca UK Ltd),1
144541000033112,Betaloc-SA 200mg tablets (AstraZeneca UK Ltd),1
145541000033111,Betaxolol 20mg tablets,1
144741000033116,Betim 10mg tablets (Meda Pharmaceuticals Ltd),1
2638141000033114,Bipranix 10mg tablets (Ashbourne Pharmaceuticals Ltd),1
2638041000033110,Bipranix 5mg tablets (Ashbourne Pharmaceuticals Ltd),1
1951641000033111,Bisoprolol 1.25mg tablets,1
5898041000033111,Bisoprolol 1.25mg/5ml oral solution,1
5898141000033110,Bisoprolol 1.25mg/5ml oral suspension,1
10025241000033112,Bisoprolol 10mg / Aspirin 100mg capsules,1
10025141000033117,Bisoprolol 10mg / Aspirin 75mg capsules,1
514741000033117,Bisoprolol 10mg tablets,1
8536441000033115,Bisoprolol 10mg/5ml oral suspension,1
1951741000033119,Bisoprolol 2.5mg tablets,1
5991041000033111,Bisoprolol 2.5mg/5ml oral solution,1
4507941000033117,Bisoprolol 2.5mg/5ml oral suspension,1
1951841000033112,Bisoprolol 3.75mg tablets,1
10025041000033116,Bisoprolol 5mg / Aspirin 100mg capsules,1
10024941000033116,Bisoprolol 5mg / Aspirin 75mg capsules,1
151341000033117,Bisoprolol 5mg tablets,1
5898241000033115,Bisoprolol 5mg/5ml oral solution,1
