prodcodeid,productname,cc
14041000033115,Adalat 10mg capsules (Bayer Plc),1
14141000033116,Adalat 5mg capsules (Bayer Plc),1
14241000033111,Adalat I C Coronary injection 100 mcg/ml,1
1766341000033113,Adalat LA 20mg tablets (Bayer Plc),1
17141000033112,Adalat LA 30mg tablets (Bayer Plc),1
17241000033117,Adalat LA 60mg tablets (Bayer Plc),1
19441000033113,Adalat retard 10mg tablets (Bayer Plc),1
19341000033119,Adalat retard 20mg tablets (Bayer Plc),1
5891941000033115,Adanif XL 30mg tablets (Advanz Pharma),1
5892041000033114,Adanif XL 60mg tablets (Advanz Pharma),1
1820541000033114,Adipine LA 30 M/R tablets 30 mg,1
1820441000033113,Adipine LA 60 M/R tablets 60 mg,1
18341000033114,Adipine MR 10 tablets (Chiesi Ltd),1
18241000033116,Adipine MR 20 tablets (Chiesi Ltd),1
3225441000033117,Adipine XL 30mg tablets (Chiesi Ltd),1
3225541000033116,Adipine XL 60mg tablets (Chiesi Ltd),1
13841000033113,Adizem Capsules 60 mg,1
19741000033118,Adizem Continus Tablets 120 mg,1
18141000033111,Adizem-60 M/R tablets 60 mg,1
17341000033110,Adizem-SR 120mg capsules (Napp Pharmaceuticals Ltd),1
19641000033110,Adizem-SR 120mg tablets (Napp Pharmaceuticals Ltd),1
17441000033116,Adizem-SR 180mg capsules (Napp Pharmaceuticals Ltd),1
17641000033119,Adizem-SR 90mg capsules (Napp Pharmaceuticals Ltd),1
17541000033115,Adizem-Sr M/R capsules 300 mg,1
19541000033114,Adizem-Sr Tablets 60 mg,1
17741000033111,Adizem-XL 120mg capsules (Napp Pharmaceuticals Ltd),1
17841000033118,Adizem-XL 180mg capsules (Napp Pharmaceuticals Ltd),1
2653341000033118,Adizem-XL 200mg capsules (Napp Pharmaceuticals Ltd),1
17941000033114,Adizem-XL 240mg capsules (Napp Pharmaceuticals Ltd),1
18041000033112,Adizem-XL 300mg capsules (Napp Pharmaceuticals Ltd),1
4897741000033118,Amlodipine 1.5mg/5ml oral suspension,1
3038141000033110,Amlodipine 10mg tablets,1
7740641000033112,Amlodipine 10mg/5ml oral solution,1
10387441000033111,Amlodipine 10mg/5ml oral solution sugar free,1
3963741000033115,Amlodipine 10mg/5ml oral suspension,1
3038041000033111,Amlodipine 5mg tablets,1
5490241000033113,Amlodipine 5mg/5ml oral solution,1
4508041000033119,Amlodipine 5mg/5ml oral solution sugar free,1
5888741000033110,Amlodipine 5mg/5ml oral suspension,1
12682241000033110,Amlodipine 5mg/5ml oral suspension sugar free,1
60741000033111,Amlodipine Besilate Tablets 10 mg,1
57241000033113,Amlodipine Besilate Tablets 5 mg,1
3890141000033118,Amlodipine Powder For Oral Suspension With Diluent (Kit) 10 mg/5 ml,1
3188841000033118,Amlostin 10mg tablets (Discovery Pharmaceuticals),1
3188741000033111,Amlostin 5mg tablets (Discovery Pharmaceuticals),1
61841000033111,Angiopine 10 capsules (Ashbourne Pharmaceuticals Ltd),1
65841000033113,Angiopine 40 La M/R tablets 40 mg,1
61741000033118,Angiopine Capsules 5 mg,1
66141000033114,Angiopine MR 10mg tablets (Ashbourne Pharmaceuticals Ltd),1
65241000033114,Angiopine MR 20mg tablets (Ashbourne Pharmaceuticals Ltd),1
71141000033114,Angiozem 60mg modified-release tablets (Ashbourne Pharmaceuticals Ltd),1
