prodcodeid,productname,insulin
10600641000033118,Abasaglar 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd),1
10600741000033110,Abasaglar KwikPen 100units/ml solution for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),1
11493341000033110,"Actraphane Hm (Ge) Suspension For Injection 100 units/ml, 10 ml vial",1
2952841000033116,Actrapid 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd),1
7341000033112,Actrapid Mc Injection 100 units/1 ml,1
2952941000033112,Actrapid NovoLet 100units/ml solution for injection (Novo Nordisk Ltd),1
2953041000033119,Actrapid Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd),1
3345841000033110,Apidra 100units/ml solution for injection 10ml vials (Sanofi),1
3963941000033117,Apidra 100units/ml solution for injection 3ml OptiClik cartridges (Sanofi),1
3345941000033119,Apidra 100units/ml solution for injection 3ml cartridges (Sanofi),1
3914341000033119,Apidra 100units/ml solution for injection 3ml pre-filled OptiSet pen (Sanofi),1
4258641000033112,Apidra 100units/ml solution for injection 3ml pre-filled SoloStar pen (Sanofi),1
148841000033116,Biphasic Insulin Injection 100 units/ml,1
3945141000033114,Exubera 1mg inhalation powder blisters (Pfizer Ltd),1
3945241000033119,Exubera 3mg inhalation powder blisters (Pfizer Ltd),1
12186441000033111,Fiasp 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd),1
12186541000033112,Fiasp FlexTouch 100units/ml solution for injection 3ml pre-filled pen (Novo Nordisk Ltd),1
12186641000033113,Fiasp Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd),1
727341000033117,HumaJect M3 Pen 100units/ml suspension for injection (Eli Lilly and Company Ltd),1
727041000033119,HumaJect S Pen 100units/ml solution for injection (Eli Lilly and Company Ltd),1
727641000033113,Humaject (Humulin I) Preloaded pen 100 units/ml,1
727141000033115,Humaject (Humulin M1) Preloaded pen,1
727241000033110,Humaject (Humulin M2) Preloaded pen,1
727441000033111,Humaject (Humulin M4) Preloaded pen,1
727541000033112,Humaject (Humulin M5) Preloaded pen,1
720541000033111,Humalog 100units/ml solution for injection 1.5ml cartridges (Eli Lilly and Company Ltd),1
723241000033118,Humalog 100units/ml solution for injection 10ml vials (Eli Lilly and Company Ltd),1
1736841000033114,Humalog 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd),1
12486241000033111,Humalog Junior KwikPen 100units/ml solution for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),1
4608541000033115,Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),1
10252741000033119,Humalog KwikPen 200units/ml solution for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),1
5403541000033118,Humalog Mix25 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd),1
1736941000033118,Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd),1
4608641000033119,Humalog Mix25 KwikPen 100units/ml suspension for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),1
1737041000033117,Humalog Mix25 Pen 100units/ml suspension for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),1
