prodcodeid,productname,other_hyper
11241000033113,Accuretic 10mg/12.5mg tablets (Pfizer Ltd),1
3162941000033114,Acebutolol 200mg / Hydrochlorothiazide 12.5mg tablets,1
13141000033119,Acezide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),1
9159341000033112,Actelsar HCT 40mg/12.5mg tablets (Actavis UK Ltd),1
9159441000033118,Actelsar HCT 80mg/12.5mg tablets (Actavis UK Ltd),1
9159541000033117,Actelsar HCT 80mg/25mg tablets (Actavis UK Ltd),1
18441000033115,Adizem-Xl Plus M/R capsules,1
40241000033110,Aldactide 25 tablets (Pfizer Ltd),1
40341000033117,Aldactide 50 tablets (Pfizer Ltd),1
40941000033118,Aldomet 250mg tablets (Aspen Pharma Trading Ltd),1
41041000033111,Aldomet 500mg tablets (Aspen Pharma Trading Ltd),1
31341000033114,Aldomet Injection 50 mg/ml,1
36841000033113,Aldomet Suspension 250 mg/5 ml,1
40841000033114,Aldomet Tablets 125 mg,1
60341000033110,Amil-Co 5mg/50mg tablets (IVAX Pharmaceuticals UK Ltd),1
57341000033115,Amilmaxco 5mg/50mg tablets (Ashbourne Pharmaceuticals Ltd),1
1903541000033116,Amiloride 2.5mg / Cyclopenthiazide 250microgram tablets,1
1845641000033119,Amiloride 5mg / Bumetanide 1mg tablets,1
4021641000033111,Amlodipine 10mg / Valsartan 160mg tablets,1
4021541000033110,Amlodipine 5mg / Valsartan 160mg tablets,1
4021441000033114,Amlodipine 5mg / Valsartan 80mg tablets,1
73441000033117,Apresoline 20mg powder for solution for injection ampoules (Advanz Pharma),1
74341000033114,Apresoline 25mg tablets (Advanz Pharma),1
74441000033115,Apresoline Tablets 50 mg,1
90741000033113,Atenix Co 100 tablets (Ashbourne Pharmaceuticals Ltd),1
92441000033119,Atenix Co 50 tablets (Ashbourne Pharmaceuticals Ltd),1
92341000033113,Atenixco 50 Tablets 12.5 mg,1
3246941000033118,Atenolol 50mg / Nifedipine 20mg modified-release capsules,1
124341000033119,Beta-Adalat modified-release capsules (Bayer Plc),1
172341000033112,Burinex A 5mg/1mg tablets (LEO Pharma),1
216441000033110,Capozide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),1
209241000033119,Capozide LS 12.5mg/25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),1
1893341000033116,Capto-Co Tablets 12.5 mg/25 mg,1
1893441000033110,Capto-Co Tablets 25 mg/50 mg,1
209841000033115,Carace 10 Plus tablets (Merck Sharp & Dohme Ltd),1
217041000033116,Carace 20 Plus tablets (Merck Sharp & Dohme Ltd),1
3136041000033117,Caralpha 10mg/12.5mg tablets (Actavis UK Ltd),1
3136141000033118,Caralpha 20mg/12.5mg tablets (Actavis UK Ltd),1
215341000033112,Catapres 100microgram tablets (Boehringer Ingelheim Ltd),1
196241000033111,Catapres 150micrograms/1ml solution for injection ampoules (Boehringer Ingelheim Ltd),1
215441000033118,Catapres 300microgram tablets (Boehringer Ingelheim Ltd),1
177441000033116,Catapres Capsules 0.25 mg,1
177641000033119,Catapres Perlongets M/R capsules 250 micrograms,1
12107141000033117,Catapres TTS 1 patches (Imported (Germany)),1
12117941000033118,Catapres TTS 2 patches (Imported (Germany)),1
12118541000033113,Catapres TTS 3 patches (Imported (Germany)),1
5393041000033115,Chlorothiazide And Spironolactone Capsules 250 mg + 25 mg,1
285841000033118,Clonidine 100microgram tablets,1
12106941000033117,Clonidine 100micrograms/24hours transdermal patches,1
12569041000033115,Clonidine 100micrograms/5ml oral suspension,1
275641000033110,Clonidine 150micrograms/1ml solution for injection ampoules,1
5289041000033110,Clonidine 200micrograms/24hours transdermal patches,1
261841000033118,Clonidine 250microgram modified-release capsules,1
285941000033114,Clonidine 25microgram tablets,1
287241000033110,Clonidine 300microgram tablets,1
12107041000033116,Clonidine 300micrograms/24hours transdermal patches,1
5900141000033118,Clonidine 50micrograms/5ml oral solution,1
12684041000033114,Clonidine 50micrograms/5ml oral solution sugar free,1
5900241000033113,Clonidine 50micrograms/5ml oral suspension,1
2776441000033110,Clonidine Hydrochloride Transdermal patches (7 days) 2.5 mg (0.1mg/24 hours),1
372841000033114,Co-Betaloc SA tablets (Pfizer Ltd),1
372741000033116,Co-Betaloc tablets (Pfizer Ltd),1
3152541000033112,Co-Diovan 160mg/12.5mg tablets (Novartis Pharmaceuticals UK Ltd),1
3152641000033113,Co-Diovan 160mg/25mg tablets (Novartis Pharmaceuticals UK Ltd),1
3190841000033119,Co-Diovan 80mg/12.5mg tablets (Novartis Pharmaceuticals UK Ltd),1
6028541000033112,Co-Tritace Tablets 10 mg + 12.5 mg,1
6028641000033113,Co-Tritace Tablets 10 mg + 25 mg,1
376741000033115,Co-amilofruse 10mg/80mg tablets,1
376841000033113,Co-amilofruse 2.5mg/20mg tablets,1
376641000033112,Co-amilofruse 5mg/40mg tablets,1
5710441000033117,Co-amilofruse 5mg/40mg/5ml oral suspension,1
376941000033117,Co-amilozide 2.5mg/25mg tablets,1
369141000033118,Co-amilozide 5mg/50mg tablets,1
351941000033111,Co-amilozide 5mg/50mg/5ml oral solution,1
377041000033116,Co-flumactone 25mg/25mg tablets,1
377141000033117,Co-flumactone 50mg/50mg tablets,1
377341000033119,Co-prenozide 160mg/0.25mg modified-release tablets,1
