medcode,readterm,anaemia
19951,Achlorhydric anaemia,1
15658,Acquired aplastic anaemia,1
21723,Acquired aplastic anaemia NOS,1
15314,Acquired haemolytic anaemia NOS,1
50495,Acquired haemolytic anaemia with haemoglobinuria NEC,1
27771,Acquired haemolytic anaemias,1
41699,Acquired sideroblastic anaemia,1
2743,Acute posthaemorrhagic anaemia,1
2813,Addison's anaemia,1
104843,Adverse reaction to liver preps+other antianaemic agent NOS,1
64601,Amino-acid deficiency anaemia,1
15633,Anaemia - unspecified whether in pregnancy or the puerperium,1
104454,Anaemia due to disorders of nucleotide metabolism,1
33708,Anaemia during pregnancy - baby delivered,1
21119,Anaemia during pregnancy - baby not yet delivered,1
1771,"Anaemia during pregnancy, childbirth and the puerperium",1
33634,Anaemia during pregnancy/childbirth/puerperium NOS,1
30637,Anaemia in neoplastic disease,1
48145,Anaemia in ovarian carcinoma,1
29601,Anaemia in the puerperium - baby delivered,1
2054,Anaemia in the puerperium - baby previously delivered,1
19574,Anaemia of prematurity,1
6577,Anaemia screen,1
35783,Anaemia screen,1
25394,Anaemia secondary to chronic renal failure,1
16929,Anaemia secondary to renal failure,1
739,Anaemia unspecified,1
37654,Anaemia/blood screen NOS,1
15731,Anaemia/blood screening,1
15422,Aplastic anaemia,1
68087,Aplastic anaemia NOS,1
16108,Aplastic anaemia due to chronic disease,1
43166,Aplastic anaemia due to drugs,1
57859,Aplastic anaemia due to infection,1
66239,Aplastic anaemia due to toxic cause,1
37539,Aplastic and other anaemias,1
94528,Asiderotic anaemia,1
39876,Autoimmune haemolytic anaemia NOS,1
3818,Autoimmune haemolytic anaemias,1
55370,Biermer's congenital pernicious anaemia,1
57954,Chlorotic anaemia,1
12176,Chronic anaemia,1
22715,Combined B12 and folate deficiency anaemia,1
57298,Congenital Heinz-body anaemia,1
31248,Congenital anaemia,1
99494,Congenital anaemia from fetal blood loss,1
31040,Congenital dyserythropoietic anaemia,1
53422,Congenital dyshaematopoietic anaemia,1
37320,Congenital hypoplastic anaemia,1
43330,Congenital sideroblastic anaemia,1
69027,Constitutional aplastic anaemia,1
102848,Constitutional aplastic anaemia with malformation,1
69061,Constitutional aplastic anaemia without malformation,1
7841,Deficiency anaemias,1
8054,Deficiency anaemias NOS,1
31734,Drug-induced autoimmune haemolytic anaemia,1
49451,Drug-induced enzyme deficiency anaemia,1
67088,Drug-induced haemolytic anaemia,1
110176,Enzyme deficiency haemolytic anaemia NOS,1
34754,Fanconi's familial refractory anaemia,1
64625,Fanconi's hypoplastic anaemia,1
4080,Folate-deficiency anaemia,1
42117,Folate-deficiency anaemia NOS,1
36634,Folate-deficiency anaemia due to dietary causes,1
56114,Folate-deficiency anaemia due to liver disorders,1
55481,Folate-deficiency anaemia due to malabsorption,1
37082,"Folate-deficiency anaemia, drug induced",1
24870,Folic acid deficiency anaemia,1
22531,Glucose-6-phosphate dehydrogenase deficiency anaemia,1
98709,Goat's milk anaemia,1
54738,H/O: Anaemia vit.B12 deficient,1
5833,H/O: anaemia,1
31214,H/O: anaemia - iron deficient,1
24953,H/O: anaemia NOS,1
21335,H/O: haemolytic anaemia,1
71808,Haemolytic anaemia due to glutathione metabolism disorder,1
107820,Haemolytic anaemia due to hexokinase deficiency,1
55561,Haemolytic anaemia due to pyruvate kinase deficiency,1
3326,Haemolytic anaemias,1
18631,Haemolytic anaemias NOS,1
14698,Hereditary haemolytic anaemia NOS,1
39456,Hereditary haemolytic anaemias,1
100001,History of sickle cell anaemia,1
882,Hypochromic - microcytic anaemia,1
44913,Hypoplastic anaemia - familial,1
32715,Hypoplastic anaemia due to drug or chemical substance,1
65351,Hypoplastic anaemia due to infection,1
