medcode,readterm,cancer
42539,Acute erythraemia and erythroleukaemia,1
4072,Acute leukaemia NOS,1
4251,Acute lymphoid leukaemia,1
19974,Acute monocytic leukaemia,1
28276,Acute myelofibrosis,1
4413,Acute myeloid leukaemia,1
61500,Acute myelomonocytic leukaemia,1
50858,Acute panmyelosis,1
27664,Acute promyelocytic leukaemia,1
37461,Adult T-cell leukaemia,1
9491,Anal carcinoma,1
104325,B-cell acute lymphoblastic leukaemia,1
104328,B-cell chronic lymphocytic leukaemia,1
21402,Burkitt's lymphoma,1
71304,Burkitt's lymphoma NOS,1
97577,Burkitt's lymphoma of intra-abdominal lymph nodes,1
100006,Burkitt's lymphoma of intrathoracic lymph nodes,1
59115,"Burkitt's lymphoma of lymph nodes of head, face and neck",1
92380,Burkitt's lymphoma of lymph nodes of inguinal region and leg,1
348,Ca female breast,1
11628,Cancer of bowel,1
1986,Cancer of ovary,1
36495,Carcinoma common bile duct,1
31393,Carcinoma gallbladder,1
9902,"Carcinoma of bone, connective tissue, skin and breast",1
22163,Carcinoma of caecum,1
3357,Carcinoma of digestive organs and peritoneum,1
16874,Carcinoma of genitourinary organ,1
9984,Carcinoma of lip,1
24374,"Carcinoma of lip, oral cavity and pharynx",1
8693,Carcinoma of other and unspecified sites,1
7219,Carcinoma of rectum,1
45307,Carcinoma of respiratory tract and intrathoracic organs,1
6170,Carcinomatosis,1
5199,Cerebral metastasis,1
10851,Cerebral tumour - malignant,1
3230,Cervical carcinoma (uterus),1
52327,Chloroma,1
5062,Chondroma,1
28003,Choriocarcinoma,1
100786,Chronic eosinophilic leukaemia,1
37468,Chronic erythraemia,1
31701,Chronic granulocytic leukaemia,1
16416,Chronic leukaemia NOS,1
27790,Chronic lymphatic leukaemia,1
8625,Chronic lymphoid leukaemia,1
27458,Chronic monocytic leukaemia,1
10726,Chronic myeloid leukaemia,1
27520,Chronic myeloid leukaemia NOS,1
22050,Chronic myelomonocytic leukaemia,1
102783,Chronic neutrophilic leukaemia,1
9118,Colonic cancer,1
27340,Di Guglielmo's disease,1
102594,Diffuse large B-cell lymphoma,1
50695,Diffuse non-Hodgkin mixed sml & lge cell (diffuse) lymphoma,1
70509,Diffuse non-Hodgkin's centroblastic lymphoma,1
53551,Diffuse non-Hodgkin's immunoblastic (diffuse) lymphoma,1
101114,Diffuse non-Hodgkin's large cell lymphoma,1
17460,Diffuse non-Hodgkin's lymphoblastic (diffuse) lymphoma,1
65180,Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse),1
39798,"Diffuse non-Hodgkin's lymphoma, unspecified",1
50668,Diffuse non-Hodgkin's small cell (diffuse) lymphoma,1
13569,Disseminated malignancy NOS,1
72224,Fibrosarcoma of spleen,1
104152,Follicular lymphoma,1
17182,Follicular lymphoma NOS,1
70842,Follicular non-Hodg mixed sml cleavd & lge cell lymphoma,1
49262,Follicular non-Hodgkin's large cell lymphoma,1
21549,Follicular non-Hodgkin's lymphoma,1
28639,Follicular non-Hodgkin's small cleaved cell lymphoma,1
10368,Gastric neoplasm,1
39629,Granulocytic sarcoma,1
87335,Hairy cell leukaemia,1
63653,Heilmeyer - Schoner disease,1
31210,Hepatoblastoma of liver,1
22187,Hepatocellular carcinoma,1
101700,Hereditary nonpolyposis colon cancer,1
4870,"Histiocytosis X (acute, progressive)",1
104291,Hodgkin lymphoma,1
2462,Hodgkin's disease,1
53397,Hodgkin's disease NOS,1
42461,Hodgkin's disease NOS,1
