medcode,readterm,ihd
30330,Acute Q-wave infarct,1
12229,Acute ST segment elevation myocardial infarction,1
40429,Acute anteroapical infarction,1
12139,Acute anterolateral infarction,1
17872,Acute anteroseptal infarction,1
28736,Acute atrial infarction,1
9276,Acute coronary insufficiency,1
8935,Acute inferolateral infarction,1
29643,Acute inferoposterior infarction,1
241,Acute myocardial infarction,1
14658,Acute myocardial infarction NOS,1
9507,Acute non-Q wave infarction,1
10562,Acute non-ST segment elevation myocardial infarction,1
62626,Acute papillary muscle infarction,1
32854,Acute posterolateral myocardial infarction,1
41221,Acute septal infarction,1
3704,Acute subendocardial infarction,1
29758,Acute transmural myocardial infarction of unspecif site,1
6331,Aneurysm of heart,1
41677,Aneurysm of heart NOS,1
17307,Angina at rest,1
19655,Angina at rest,1
13185,Angina control,1
19542,Angina control - good,1
14782,Angina control - improving,1
15373,Angina control - poor,1
29300,Angina control - worsening,1
15349,Angina control NOS,1
20095,Angina decubitus,1
29902,Angina decubitus NOS,1
1414,Angina on effort,1
1430,Angina pectoris,1
25842,Angina pectoris NOS,1
28554,Angina pectoris NOS,1
107967,Angina self-management plan agreed,1
109391,Angina self-management plan review,1
14897,Anterior myocardial infarction NOS,1
45960,Antianginal therapy,1
23708,Atrial septal defect/curr comp folow acut myocardal infarct,1
13566,Attack - heart,1
35373,Attends coronary heart disease monitoring,1
13187,CHD monitoring,1
27484,Cardiac aneurysm,1
3468,Cardiac disease monitoring,1
17681,Cardiac disease monitoring NOS,1
13250,Cardiac diseases,1
8516,Cardiac rehabilitation,1
37990,Cardiac rehabilitation - phase 1,1
37991,Cardiac rehabilitation - phase 2,1
41032,Cardiac rehabilitation - phase 3,1
46565,Cardiac rehabilitation - phase 4,1
18218,Cardiac rehabilitation class,1
19250,Cardiac rehabilitation declined,1
30421,Cardiac rupture following myocardial infarction (MI),1
8568,Cardiac syndrome X,1
97001,Cardiac troponin positive,1
48981,Cardiovascular disease interim monitoring,1
19185,Cardiovascular disease monitoring,1
36423,Certain current complication follow acute myocardial infarct,1
18134,Chest pain on exertion,1
24540,Chronic coronary insufficiency,1
36854,Coronary artery spasm,1
25814,Coronary heart disease monitoring 1st letter,1
34207,Coronary heart disease monitoring 2nd letter,1
34329,Coronary heart disease monitoring 3rd letter,1
18150,Coronary heart disease monitoring administration,1
39500,Coronary heart disease monitoring check done,1
47798,Coronary heart disease monitoring default,1
19744,Coronary heart disease monitoring refused,1
70160,Coronary heart disease monitoring telephone invite,1
37908,Coronary heart disease monitoring verbal invitation,1
2491,Coronary thrombosis,1
4656,Crescendo angina,1
61670,Diab mellit insulin-glucose infus acute myocardial infarct,1
15661,Dressler's syndrome,1
34952,ECG: Q wave,1
66285,ECG: Q wave NOS,1
46227,ECG: Q wave abnormal,1
62270,ECG: Q wave pathological,1
26966,ECG: S-T elevation,1
26975,ECG: antero-septal infarct.,1
52705,ECG: lateral infarction,1
59032,ECG: myocardial infarct NOS,1
7783,ECG: myocardial infarction,1
39904,ECG: old myocardial infarction,1
55401,ECG: subendocardial infarct,1
26972,ECG:posterior/inferior infarct,1
100437,Exception reporting: myocardial infarction quality indicator,1
103655,Frequency of angina,1
57062,H/O: Angina in last year,1
50372,H/O: Myocardial infarction in last year,1
6336,H/O: angina pectoris,1
35674,H/O: myocardial infarct <60,1
40399,H/O: myocardial infarct >60,1
24126,Haemopericardium/current comp folow acut myocard infarct,1
16408,Healed myocardial infarction,1
1204,Heart attack,1
