medcode,term,t2d
48078,Acute painful diabetic neuropathy,1
7059,Admit diabetic emergency,1
10099,Advanced diabetic maculopathy,1
47584,Advanced diabetic retinal disease,1
68928,Adverse reaction to insulins and antidiabetic agents,1
61210,Adverse reaction to insulins and antidiabetic agents NOS,1
107739,Advice about diabetes and driving,1
18167,Annual diabetic blood test,1
24571,Asymptomatic diabetic neuropathy,1
93390,Attended DAFNE diabetes structured education programme,1
94011,Attended XPERT diabetes structured education programme,1
26605,Attended diabetes structured education programme,1
6430,Attending diabetes clinic,1
13197,Attends diabetes monitoring,1
17067,Autonomic neuropathy due to diabetes,1
7069,Background diabetic retinopathy,1
2478,Brittle diabetes,1
91164,CSQ - Diabetes clinic satisfaction questionnaire,1
7328,Cellulitis in diabetic foot,1
35785,Chronic painful diabetic neuropathy,1
107881,Clinical diabetic nephropathy,1
107508,Conversion to insulin by diabetes specialist nurse,1
93491,DAFNE diabetes structured education programme completed,1
93529,DESMOND diabetes structured education programme completed,1
9145,DNA - Did not attend diabetic clinic,1
68818,DTSQ - Diabetes treatment satisfaction questionnaire,1
97824,DWBQ - Diabetes wellbeing questionnaire,1
29041,Date diabetic treatment start,1
55123,Date diabetic treatment stopp.,1
101190,Declined consent for diabetes year of care programme,1
106218,Declined diabetic retinopathy screening,1
107464,Diabetes Year of Care annual review,1
12307,Diabetes care by hospital only,1
47032,Diabetes care plan agreed,1
103743,Diabetes care plan declined,1
13191,Diabetes clinic administration,1
68546,Diabetes clinic satisfaction questionnaire,1
63412,Diabetes clinical management plan,1
105585,Diabetes clinical pathway,1
8836,Diabetes management plan given,1
11471,Diabetes medication review,1
711,Diabetes mellitus,1
67635,Diabetes mellitus - unspec whether in pregnancy/puerperium,1
72345,Diabetes mellitus NOS with hyperosmolar coma,1
42505,Diabetes mellitus NOS with ketoacidosis,1
65062,Diabetes mellitus NOS with ketoacidotic coma,1
22573,Diabetes mellitus NOS with neurological manifestation,1
50972,Diabetes mellitus NOS with no mention of complication,1
34283,Diabetes mellitus NOS with ophthalmic manifestation,1
70821,Diabetes mellitus NOS with other specified manifestation,1
65025,Diabetes mellitus NOS with peripheral circulatory disorder,1
64357,Diabetes mellitus NOS with unspecified complication,1
36695,Diabetes mellitus autosomal dominant type 2,1
107603,Diabetes mellitus in remission,1
32403,Diabetes mellitus with gangrene,1
21482,Diabetes mellitus with hyperosmolar coma,1
1682,Diabetes mellitus with ketoacidosis,1
15690,Diabetes mellitus with ketoacidotic coma,1
35107,Diabetes mellitus with nephropathy NOS,1
16230,Diabetes mellitus with neurological manifestation,1
7795,Diabetes mellitus with neuropathy,1
38986,Diabetes mellitus with no mention of complication,1
33254,Diabetes mellitus with ophthalmic manifestation,1
33343,Diabetes mellitus with other specified manifestation,1
35399,Diabetes mellitus with peripheral circulatory disorder,1
16491,Diabetes mellitus with polyneuropathy,1
16502,Diabetes mellitus with renal manifestation,1
45491,Diabetes mellitus with unspecified complication,1
39317,"Diabetes mellitus, adult onset, + neurological manifestation",1
41389,"Diabetes mellitus, adult onset, + ophthalmic manifestation",1
63762,"Diabetes mellitus, adult onset, + unspecified complication",1
14803,"Diabetes mellitus, adult onset, no mention of complication",1
43139,"Diabetes mellitus, adult onset, with hyperosmolar coma",1
54856,"Diabetes mellitus, adult onset, with ketoacidosis",1
68843,"Diabetes mellitus, adult onset, with ketoacidotic coma",1
35105,"Diabetes mellitus, adult onset, with renal manifestation",1
33807,"Diabetes mellitus, adult with gangrene",1
63371,"Diabetes mellitus, adult, + other specified manifestation",1
63357,"Diabetes mellitus, adult, + peripheral circulatory disorder",1
101455,Diabetes monitor invitation by SMS (short message service),1
13192,Diabetes monitor. check done,1
31141,Diabetes monitor.phone invite,1
31240,Diabetes monitor.verbal invite,1
20900,Diabetes monitored,1
13194,Diabetes monitoring 1st letter,1
