prodcode,prodname,ace
65,lisinopril 10mg tablets,1
69,lisinopril 20mg tablets,1
78,lisinopril 5mg tablets,1
80,ramipril 5mg capsules,1
82,ramipril 10mg capsules,1
97,perindopril erbumine 4mg tablets,1
147,ramipril 1.25mg capsules,1
196,enalapril 5mg tablets,1
217,captopril 4 mg/ml liq,1
277,lisinopril 2.5mg tablets,1
448,enalapril 2.5mg tablets,1
593,perindopril erbumine 2mg tablets,1
633,fosinopril 10mg tablets,1
654,ramipril 2.5/5mg/10mg capsule,1
709,ramipril 2.5mg capsules,1
756,ramipril 10mg tablets,1
761,ramipril 1.25mg tablets,1
1021,innozide 20mg/12.5mg tablets (merck sharp & dohme ltd),1
1121,captopril 12.5mg tablets,1
1143,captopril 25mg tablets,1
1144,capoten 25mg tablets (bristol-myers squibb pharmaceuticals ltd),1
1299,enalapril 10mg tablets,1
1520,capozide 25mg/50mg tablets (bristol-myers squibb pharmaceuticals ltd),1
1807,captopril 50mg tablets,1
1904,enalapril 20mg tablets,1
2927,perindopril/tert-butylamine 2 mg tab,1
2982,zestoretic 20- 20mg+12.5mg tablet (astrazeneca uk ltd),1
3069,acepril 25mg tablets (bristol-myers squibb pharmaceuticals ltd),1
3203,capozide ls tablet (e r squibb and sons ltd),1
3310,capoten 12.5mg tablets (bristol-myers squibb pharmaceuticals ltd),1
3509,enalapril maleate 40 mg tab,1
3720,zestril 2.5mg tablets (astrazeneca uk ltd),1
3839,capoten 50mg tablets (bristol-myers squibb pharmaceuticals ltd),1
3929,quinapril 10mg tablets,1
4103,trandolapril 1mg capsules,1
4571,staril 10mg tablets (bristol-myers squibb pharmaceuticals ltd),1
5047,trandolapril 2mg capsules,1
5159,quinapril 20mg tablets,1
5189,enalapril 20mg / hydrochlorothiazide 12.5mg tablets,1
5275,tritace 2.5mg capsules (sanofi),1
5612,coversyl 2mg tablets (servier laboratories ltd),1
5735,tritace 5mg capsules (sanofi),1
5800,coversyl 4mg tablets (servier laboratories ltd),1
5861,fosinopril 20mg tablets,1
6078,perindopril erbumine 8mg tablets,1
6200,tritace titration pack capsules (sanofi),1
6261,tritace 1.25mg tablets (sanofi),1
6288,ramipril 5mg tablets,1
6314,ramipril 2.5mg tablets,1
6359,zestoretic 10- 10mg+12.5mg tablet (astrazeneca uk ltd),1
6362,tritace 5mg tablets (sanofi),1
6364,tritace 2.5mg tablets (sanofi),1
6408,tanatril 5mg tablets (mitsubishi tanabe pharma europe ltd),1
6468,lisinopril 20mg / hydrochlorothiazide 12.5mg tablets,1
6765,quinapril 5mg tablets,1
6786,lisinopril 10mg / hydrochlorothiazide 12.5mg tablets,1
6794,perindopril erbumine 4mg / indapamide 1.25mg tablets,1
6806,zestril 10mg tablets (astrazeneca uk ltd),1
6807,zestril 5mg tablets (astrazeneca uk ltd),1
7314,accupro 5mg tablets (pfizer ltd),1
7419,trandolapril 500microgram capsules,1
8025,gopten 1mg capsules (abbott laboratories ltd),1
8026,gopten 2mg capsules (abbott laboratories ltd),1
8105,innovace 20mg tablets (merck sharp & dohme ltd),1
8106,innovace 2.5mg tablets (merck sharp & dohme ltd),1
8268,zestril 20mg tablets (astrazeneca uk ltd),1
8800,innovace 5mg tablets (merck sharp & dohme ltd),1
8830,innovace 10mg tablets (merck sharp & dohme ltd),1
8923,captopril 100 mg tab,1
9646,tritace 1.25mg capsules (aventis pharma),1
9693,tritace 10mg capsules (sanofi),1
9731,quinapril 40mg tablets,1
9764,carace 20 tablet (bristol-myers squibb pharmaceuticals ltd),1
9915,tritace 10mg tablets (sanofi),1
9948,trandolapril 4mg capsules,1
10882,carace 2.5mg tablets (bristol-myers squibb pharmaceuticals ltd),1
10902,captopril 50mg with hydrochlorothiazide 25mg tablets,1
11133,hydrochlorothiazide with captopril 25mg with 50mg tablet,1
11197,innovace melt 5mg wafer (merck sharp & dohme ltd),1
11351,co-zidocapt 25mg/50mg tablets,1
11561,co-zidocapt 12.5mg/25mg tablets,1
11567,ramipril 5mg with felodipine 5mg modified-release tablet,1
11641,captopril 25mg with hydrochlorothiazide 12.5mg tablets,1
11937,ramipril 2.5mg/5ml oral suspension,1
11965,ramipril 2.5mg with felodipine 2.5mg modified-release tablet,1
11983,perindopril erbumine 4mg/5ml oral suspension,1
11987,lisinopril 5mg/5ml oral solution,1
12313,carace 20mg tablets (bristol-myers squibb pharmaceuticals ltd),1
12411,cilazapril 500microgram tablets,1
12412,cilazapril 2.5mg tablets,1
12574,cilazapril 1mg tablets,1
12815,tanatril 10mg tablets (mitsubishi tanabe pharma europe ltd),1
12858,imidapril 10mg tablets,1
13026,cilazapril 5mg tablets,1
13589,staril 20mg tablets (bristol-myers squibb pharmaceuticals ltd),1
13755,enalapril 10mg wafer,1
14228,coversyl plus tablets (servier laboratories ltd),1
14387,carace 5mg tablets (bristol-myers squibb pharmaceuticals ltd),1
14477,accupro 10mg tablets (pfizer ltd),1
14478,accupro 20mg tablets (pfizer ltd),1
14960,coversyl 8mg tablets (servier laboratories ltd),1
15031,accuretic 12.5mg/10mg tablets (pfizer ltd),1
15085,innovace titration pack (merck sharp & dohme ltd),1
15096,accupro 40mg tablets (pfizer ltd),1
15108,quinapril 10mg / hydrochlorothiazide 12.5mg tablets,1
15121,moexipril 7.5mg tablets,1
15135,hydrochlorothiazide with captopril 12.5mg with 25mg tablet,1
15605,cilazapril 250micrograms tablets,1
15958,captopril 2mg tablets,1
16196,vascace 5mg tablets (roche products ltd),1
16197,vascace 2.5mg tablets (roche products ltd),1
16212,vascace 1mg tablets (roche products ltd),1
16701,carace 10mg tablets (bristol-myers squibb pharmaceuticals ltd),1
16708,enalapril titration pack,1
16710,gopten 500microgram capsules (abbott laboratories ltd),1
16924,imidapril 5mg tablets,1
17006,triapin 5mg/5mg modified-release tablets (sanofi),1
17120,moexipril 15mg tablets,1
17474,felodipine 5mg modified-release / ramipril 5mg tablets,1
17624,captopril 5mg/5ml oral suspension,1
17633,captopril 3mg/5ml oral solution,1
17655,carace 10 tablet (bristol-myers squibb pharmaceuticals ltd),1
18219,imidapril 20mg tablets,1
18223,trandolapril with verapamil 2mg + 180mg modified-release capsule,1
18263,acezide 25mg/50mg tablets (bristol-myers squibb pharmaceuticals ltd),1
18269,acepril 12.5mg tablets (bristol-myers squibb pharmaceuticals ltd),1
18325,acepril 50mg tablets (bristol-myers squibb pharmaceuticals ltd),1
19198,lisinopril 20mg tablets (teva uk ltd),1
19204,lisinopril 5mg tablets (teva uk ltd),1
19208,enalapril 10mg tablets (actavis uk ltd),1
19223,lisinopril 10mg tablets (teva uk ltd),1
19690,verapamil 180mg modified-release / trandolapril 2mg capsules,1
20188,enalapril 2.5mg wafer,1
20579,tarka modified-release capsules (abbott laboratories ltd),1
20849,tensopril 12.5mg tablets (teva uk ltd),1
20975,lisinopril 7.5mg/5ml oral suspension,1
21053,vascace 500microgram tablets (roche products ltd),1
21162,felodipine 2.5mg modified-release / ramipril 2.5mg tablets,1
21231,caralpha 20mg/12.5mg tablets (actavis uk ltd),1
21943,kaplon 12.5mg tablets (teva uk ltd),1
22004,carace (special compliance pack),1
22439,ednyt 20mg tablet (dominion pharma),1
22708,enalapril 5mg wafer,1
22882,ramipril,1
23252,pralenal 10 tablets (opus pharmaceuticals ltd),1
23382,carace (special compliance pack),1
23478,tensopril 50mg tablets (teva uk ltd),1
23642,vascace 0.25mg tablet (roche products ltd),1
24041,enalapril 20mg wafer,1
24214,tritace 1.25 mg tab,1
24482,captomex 50mg tablets (actavis uk ltd),1
24693,carace (special compliance pack),1
25051,capozide,1
25998,captomex 12.5mg tablets (actavis uk ltd),1
26995,kaplon 25mg tablets (teva uk ltd),1
27871,innovace melt 10mg wafer (merck sharp & dohme ltd),1
27890,enalapril maleate,1
28127,enalapril 2.5mg tablets (teva uk ltd),1
28438,triapin 2.5mg/2.5mg modified-release tablets (sanofi),1
28486,captopril 6.25mg/5ml oral suspension,1
28586,lopace 5mg capsules (discovery pharmaceuticals),1
