prodcode,prodname,alphab
2345,Hytrin BPH tablets starter pack (AMCo),1
59462,Vesomni 6mg/0.4mg modified-release tablets (Astellas Pharma Ltd),1
59676,Solifenacin 6mg / Tamsulosin 400microgram modified-release tablets,1
43567,Combodart 0.5mg/0.4mg capsules (GlaxoSmithKline UK Ltd),1
3923,Terazosin BPH starter pack 7x1mg with 14x2mg with 7x5mg,1
8076,Hytrin tablets starter pack (AMCo),1
43458,Tamsulosin 400microgram / Dutasteride 500microgram capsules,1
25487,Cascor 2mg tablets (Ranbaxy (UK) Ltd),1
40256,Baratol 25mg tablets (Amdipharm Plc),1
55906,Doxazosin 1mg tablets (Dexcel-Pharma Ltd),1
26237,Alphavase 500microgram Tablet (Ashbourne Pharmaceuticals Ltd),1
45342,Doxazosin 4mg tablets (Sandoz Ltd),1
62539,Alfuzosin 10mg modified-release tablets (Phoenix Healthcare Distribution Ltd),1
6008,Omnic 400microgram Modified-release capsule (Paines & Byrne Ltd),1
39373,Fuzatal XL 10mg tablets (Teva UK Ltd),1
9019,Indoramin 50mg Tablet,1
54785,Doxazosin 4mg tablets (Medreich Plc),1
25047,Hypovase benign prostatic hyperplasia 500microgram Tablet (Pfizer Ltd),1
34080,Stronazon 400microgram MR capsules (Actavis UK Ltd),1
35925,Contiflo XL 400microgram capsules (Ranbaxy (UK) Ltd),1
445,Prazosin 1mg tablets and Prazosin 500microgram tablets,1
53322,Doxazosin 4mg tablets (Bristol Laboratories Ltd),1
40810,Phenoxybenzamine 10mg/5ml oral suspension,1
3470,Terazosin 1mg tablets,1
20369,Doxazosin 1mg/5ml oral suspension,1
53964,Tamsulosin 400microgram modified-release capsules (A A H Pharmaceuticals Ltd),1
5183,Hypovase 2mg tablets (Pfizer Ltd),1
4875,Terazosin 10mg tablets,1
41651,Prazosin 500microgram Tablet (Approved Prescription Services Ltd),1
35603,Doxazosin 4mg/5ml oral suspension,1
27403,Omnic MR 400microgram capsules (Astellas Pharma Ltd),1
71955,Tamsulosin 400microgram modified-release tablets (A A H Pharmaceuticals Ltd),1
70733,Flectone XL 400microgram tablets (Teva UK Ltd),1
65442,Terazosin 5mg tablets (Mylan),1
50467,Doxazosin 2mg tablets (Alliance Healthcare (Distribution) Ltd),1
56145,Doxazosin 2mg tablets (Actavis UK Ltd),1
2816,Indoramin 20mg tablets,1
36023,Cardozin xl 4mg Tablet (Hillcross Pharmaceuticals Ltd),1
10088,Doxadura 4mg tablets (Discovery Pharmaceuticals),1
44553,Pinexel PR 400microgram capsules (Wockhardt UK Ltd),1
8198,Hypovase 5mg Tablet (Pfizer Ltd),1
5485,Alfuzosin 10mg modified-release tablets,1
48150,Doxazosin 1mg tablets (Actavis UK Ltd),1
726,Prazosin 2mg tablets,1
