prodcode,prodname,antiplat
3,aspirin 75mg dispersible tablets,1
16,aspirin 75mg tablets,1
34,aspirin 75mg gastro-resistant tablets,1
254,aspirin 300mg tablets,1
377,aspirin 300mg dispersible tablets,1
393,disprin 300mg dispersible tablets (reckitt benckiser healthcare (uk) ltd),1
434,aspirin 300mg gastro-resistant tablets,1
489,clopidogrel 75mg tablets,1
572,ticlopidine 250mg tablets,1
657,aspirin 500mg granules sachets sugar free,1
689,persantin 25mg tablets (boehringer ingelheim ltd),1
714,dipyridamole 200mg modified-release capsules,1
771,dipyridamole 25mg tablets,1
836,plavix 75mg tablets (sanofi),1
1049,nu-seals aspirin 600mg tablet (eli lilly and company ltd),1
1137,nu-seals aspirin ec 300mg gastro-resistant tablet (eli lilly and company ltd),1
1814,dipyridamole 100mg tablets,1
1902,aspirn 600mg gastro-resistant tablets,1
2105,solprin 300mg tablet (reckitt benckiser healthcare (uk) ltd),1
2106,persantin 100mg tablets (boehringer ingelheim ltd),1
2607,paynocil tablet (beecham research laboratories),1
2628,nu-seals aspirin ec 75mg gastro-resistant tablet (eli lilly and company ltd),1
3832,persantin retard 200mg capsules (boehringer ingelheim ltd),1
4679,asasantin retard capsules (boehringer ingelheim ltd),1
5882,dipyridamole 50mg/5ml oral suspension sugar free,1
6006,nu-seals 75 gastro-resistant tablets (alliance pharmaceuticals ltd),1
6007,nu-seals 300 gastro-resistant tablets (alliance pharmaceuticals ltd),1
6666,dipyridamole 200mg modified-release / aspirin 25mg capsules,1
6696,micropirin 75mg gastro-resistant tablets (dexcel-pharma ltd),1
7516,aspirin 300mg effervescent tablets sugar free,1
8185,disprin cv 300mg modified-release tablets (reckitt benckiser healthcare (uk) ltd),1
8186,aspirin 300mg modified-release tablets,1
8645,aspirin 300mg effervescent tablets,1
9144,caprin 75mg gastro-resistant tablets (wockhardt uk ltd),1
9301,aspirin 100mg modified-release tablets,1
9939,aspirin 500mg effervescent tablets sugar free,1
10031,aspirin 25mg with dipyridamole 200mg modified-release capsules,1
10305,aspirin 162.5mg capsules,1
10310,aspirin powder,1
11977,aspro clear maximum strength tablets,1
17449,ticlid 250mg tablets (sanofi-synthelabo ltd),1
17704,platet 100mg effervescent tablet (roche products ltd),1
17920,disprin cv 100mg modified-release tablet (reckitt benckiser healthcare (uk) ltd),1
18217,aspirin 300mg orodispersible tablets sugar free,1
18329,enprin 75mg gastro-resistant tablets (galpharm international ltd),1
19189,micropirin 75mg gastro-resistant tablet (ratiopharm uk ltd),1
21921,postmi ec 300mg gastro-resistant tablet (ashbourne pharmaceuticals ltd),1
21989,cerebrovase 100mg tablet (ashbourne pharmaceuticals ltd),1
22138,aspirin 324mg modified-release tablets,1
22232,disprin direct 300mg orodispersible tablets (reckitt benckiser healthcare (uk) ltd),1
22618,solprin 75mg tablet (reckitt benckiser healthcare (uk) ltd),1
23488,claradin 300mg tablet (nicholas laboratories ltd),1
23593,postmi 75 dispersible tablets (ashbourne pharmaceuticals ltd),1
23878,nu-seals cardio ec 75mg gastro-resistant tablet (genus pharmaceuticals ltd),1
23932,aspro clear 300mg effervescent tablets (bayer plc),1
24025,caprin 300mg gastro-resistant tablets (pinewood healthcare),1
24960,aspirin 300mg tablets (vantage),1
25232,vasyrol cold sore 100mg tablet (shire pharmaceuticals ltd),1
25284,cerebrovase 25mg tablet (ashbourne pharmaceuticals ltd),1
25335,postmi 75 ec tablets (ashbourne pharmaceuticals ltd),1
25718,angettes 75 tablets (bristol-myers squibb pharmaceuticals ltd),1
28810,aspirin 300mg with glycine 133mg soluble tablets,1
29759,aspro tablet (roche consumer health),1
29848,aspirin 300mg with glycine 150mg chewable tablets,1
30920,aspirin 300mg dispersible tablet (m & a pharmachem ltd),1
30975,modaplate 25mg tablet (berk pharmaceuticals ltd),1
30976,modaplate 100mg tablet (berk pharmaceuticals ltd),1
31192,vasyrol cold sore 25mg tablet (shire pharmaceuticals ltd),1
31210,aspirin 300mg tablet (co-operative),1
31211,aspirin 75mg dispersible tablet (a a h pharmaceuticals ltd),1
31858,caspac xl 162.5mg capsule (pharmacia ltd),1
31870,aspirin 320mg tablets,1
31938,aspirin 75mg gastro-resistant tablets (sandoz ltd),1
31953,aspirin 75mg dispersible tablets (ivax pharmaceuticals uk ltd),1
31954,aspirin 75mg dispersible tablets (teva uk ltd),1
31956,aspirin 75mg gastro-resistant tablets (kent pharmaceuticals ltd),1
32036,aspirin 75mg dispersible tablets (actavis uk ltd),1
32210,aspirin 300mg dispersible tablets (actavis uk ltd),1
32992,aspirin 75mg gastro-resistant tablets (mylan),1
33293,aspirin 75mg gastro-resistant tablets (sterwin medicines),1
33320,aspirin 75mg dispersible tablet (sovereign medical ltd),1
33656,aspirin 75mg dispersible tablets (a a h pharmaceuticals ltd),1
33662,aspirin 300mg dispersible tablet (a a h pharmaceuticals ltd),1
33668,aspirin 300mg dispersible tablet (rusco ltd),1
33676,aspirin 75mg dispersible tablets (kent pharmaceuticals ltd),1
34309,aspirin 300mg dispersible tablets (a a h pharmaceuticals ltd),1
34385,aspirin 75mg soluble tablet (co-operative),1
34386,aspirin 300mg tablets (actavis uk ltd),1
34434,aspirin 75mg dispersible tablets (thornton & ross ltd),1
34485,aspirin 75mg gastro-resistant tablets (ivax pharmaceuticals uk ltd),1
34611,aspirin 75mg gastro-resistant tablets (c p pharmaceuticals ltd),1
34666,aspirin ec 300mg gastro-resistant tablet (a a h pharmaceuticals ltd),1
34709,dipyridamole 100mg tablets (a a h pharmaceuticals ltd),1
34762,aspirin 300mg gastro-resistant tablet (galen ltd),1
34796,aspirin 75mg gastro-resistant tablet (galen ltd),1
34797,aspirin 75mg gastro-resistant tablets (actavis uk ltd),1
34942,aspirin 75mg dispersible tablet (nucare plc),1
35108,dipyridamole 100mg/5ml oral suspension,1
36521,aspirin 500mg modified-release tablets,1
36543,aspirin 100mg effervescent tablets,1
38349,clopidogrel 300mg tablets,1
38998,plavix 300mg tablets (sanofi),1
39738,aspirin 162.5mg modified-release capsules,1
39932,prasugrel 10mg tablets,1
40114,prasugrel 5mg tablets,1
40144,aspirin 300mg dispersible tablet (thornton & ross ltd),1
40381,aspirin 75mg soluble tablet (c p pharmaceuticals ltd),1
40591,efient 5mg tablets (eli lilly and company ltd),1
40913,grepid 75mg tablets (kent pharmaceuticals ltd),1
41229,efient 10mg tablets (eli lilly and company ltd),1
41512,aspirin 75mg gastro-resistant tablets (teva uk ltd),1
41569,aspirin 300mg tablets (a a h pharmaceuticals ltd),1
41594,aspirin 300mg dispersible tablet (teva uk ltd),1
41766,maximum strength aspro clear 500mg effervescent tablets (bayer plc),1
42750,clopidogrel 75mg tablets (actavis uk ltd),1
43060,aspirin 300mg soluble tablet (celltech pharma europe ltd),1
43434,aspirin 300mg gastro-resistant tablets (a a h pharmaceuticals ltd),1
43530,dipyridamole 100mg tablets (actavis uk ltd),1
43679,flamasacard 162.5mg modified-release capsule (abbey pharmaceuticals ltd),1
43709,aspirin 75mg gastro-resistant tablets (almus pharmaceuticals ltd),1
43806,aspirin 300mg gastro-resistant tablets (sandoz ltd),1
44639,aspirin 300mg dispersible tablet (nucare plc),1
45576,ticagrelor 90mg tablets,1
45643,aspirin 75mg soluble tablet (celltech pharma europe ltd),1
45840,aspirin 300mg dispersible tablet (numark management ltd),1
45851,aspirin 300mg soluble tablet (ranbaxy (uk) ltd),1
45905,clopidogrel 1mg/ml oral suspension,1
46891,clopidogrel 75mg/5ml oral suspension,1
46976,dipyridamole 100mg tablets (kent pharmaceuticals ltd),1
47895,brilique 90mg tablets (astrazeneca uk ltd),1
47992,aspirin 75mg gastro-resistant tablets (a a h pharmaceuticals ltd),1
48000,aspirin 300mg tablets (sigma pharmaceuticals plc),1
