prodcode,prodname,bb
5,atenolol 50mg tablets,1
24,atenolol 100mg tablets,1
26,atenolol 25mg tablets,1
197,atenolol 5mg/10ml solution for injection ampoules,1
220,propranolol 5mg/5ml oral solution,1
297,propranolol 10mg tablets,1
472,bisoprolol 5mg tablets,1
581,atenolol 50mg with chlortalidone 12.5mg tablets,1
594,bisoprolol 2.5mg tablets,1
599,bisoprolol 1.25mg tablets,1
707,propranolol 40mg tablets,1
739,metoprolol 50mg tablets,1
751,nebivolol 5mg tablets,1
753,metoprolol 100mg tablets,1
769,propranolol 80mg modified-release capsules,1
786,sotalol 40mg tablets,1
817,carvedilol 3.125mg tablets,1
822,bisoprolol 1.5mg/5ml oral suspension,1
940,propranolol 80mg tablets,1
1006,half inderal la 80mg capsules (astrazeneca uk ltd),1
1048,inderal 80mg tablets (astrazeneca uk ltd),1
1050,inderal 40mg tablets (astrazeneca uk ltd),1
1124,tenoretic 100mg/25mg tablets (astrazeneca uk ltd),1
1288,tenoret 50mg/12.5mg tablets (astrazeneca uk ltd),1
1290,bisoprolol 10mg tablets,1
1295,labetalol 400mg tablets,1
1333,oxprenolol 40mg tablets,1
1334,oxprenolol 160mg modified-release tablets,1
1448,propranolol 160mg modified-release capsules,1
1572,sotalol 80mg tablets,1
1597,labetalol 100mg tablets,1
1684,beta-adalat modified-release capsules (bayer plc),1
1788,atenolol 100mg with chlortalidone 25mg tablets,1
2361,trasicor 80mg tablet (novartis pharmaceuticals uk ltd),1
2414,inderal 10mg tablets (astrazeneca uk ltd),1
2432,tenormin ls 50mg tablets (astrazeneca uk ltd),1
2499,nadolol 80mg tablets,1
2587,tenormin 100mg tablets (astrazeneca uk ltd),1
2590,tenormin 25mg tablets (astrazeneca uk ltd),1
2629,carvedilol 12.5mg tablets,1
2775,labetalol 200mg tablets,1
2780,oxprenolol 80mg tablets,1
3005,inderal la 160mg capsules (astrazeneca uk ltd),1
3041,sotalol hcl 40 mg inj,1
3087,propranolol 40mg/5ml oral solution sugar free,1
3167,propranolol 160mg tablets,1
3344,betaloc 100mg tablets (astrazeneca uk ltd),1
3474,betaloc-sa 200mg tablets (astrazeneca uk ltd),1
3516,oxprenolol 20mg tablets,1
3526,amiloride with atenolol with hydrochlorothiazide capsules,1
3588,monocor 5mg tablets (wyeth pharmaceuticals),1
3691,sotalol 160mg with hydrochlorothiazide 25mg tablet,1
3748,oxprenolol 160mg tablet,1
3827,propanix 40mg tablet (ashbourne pharmaceuticals ltd),1
4004,sotacor 80mg tablets (bristol-myers squibb pharmaceuticals ltd),1
4021,propranolol 20 mg tab,1
4025,slow-trasicor 160mg tablets (amco),1
4265,celectol 200mg tablet (pantheon healthcare ltd),1
4410,carvedilol 6.25mg tablets,1
4429,trasidrex modified-release tablets (mercury pharma group ltd),1
4542,atenolol 50mg / nifedipine 20mg modified-release capsules,1
4588,visken 5mg tablet (sovereign medical ltd),1
4605,moducren tablets (merck sharp & dohme ltd),1
4725,labetalol 50mg tablets,1
4771,emcor ls 5mg tablets (merck serono ltd),1
4796,inderetic 80mg/2.5mg capsules (astrazeneca uk ltd),1
4983,atenolol with amiloride and hydrochlorothiazide capsules,1
5284,pindolol 5mg tablets,1
5330,corgaretic 40mg tablets (sanofi-synthelabo ltd),1
5478,propranolol 10mg/5ml oral solution sugar free,1
5713,bisoprolol 7.5mg tablets,1
5721,co-tenidone 100mg/25mg tablets,1
5858,beta-cardone 40mg tablets (focus pharmaceuticals ltd),1
5968,monocor 10mg tablets (wyeth pharmaceuticals),1
6066,atenolol 25mg/5ml oral solution sugar free,1
6751,beta-cardone 80mg tablets (focus pharmaceuticals ltd),1
7049,carvedilol 25mg tablets,1
7066,metoprolol 100mg / hydrochlorothiazide 12.5mg tablets,1
7091,bisoprolol 3.75mg tablets,1
7429,tenormin 5mg/10ml solution for injection ampoules (astrazeneca uk ltd),1
7474,trasicor 20mg tablet (novartis pharmaceuticals uk ltd),1
7491,labetalol tab,1
7528,nebilet 5mg tablets (a. menarini farmaceutica internazionale srl),1
7543,kalten capsules (m & a pharmachem ltd),1
7553,bisoprolol 5mg/5ml oral suspension,1
7620,acebutolol 400mg tablets,1
7852,blocadren 10mg tablet (merck sharp & dohme ltd),1
7853,timolol 10mg tablets,1
7974,celiprolol 400mg tablets,1
8023,sectral 400mg tablets (sanofi),1
8061,sotalol 80mg with hydrochlorothiazide 12.5mg tablet,1
8068,metoprolol 200mg modified-release tablets,1
8071,betaloc 50mg tablets (astrazeneca uk ltd),1
8113,acebutolol 200mg capsules,1
8147,lopresoretic tablet (novartis pharmaceuticals uk ltd),1
8172,acebutolol 100mg capsules,1
8189,secadrex 200mg/12.5mg tablets (sanofi),1
8262,celiprolol 200mg tablets,1
8290,trasicor 40mg tablet (novartis pharmaceuticals uk ltd),1
8331,inderal 160mg tablet (astrazeneca uk ltd),1
8369,inderex 160mg/5mg modified-release capsules (astrazeneca uk ltd),1
8555,sectral 200mg capsules (sanofi),1
8623,prestim tablet (icn pharmaceuticals france s.a.),1
8642,tenif 50mg/20mg modified-release capsules (astrazeneca uk ltd),1
8673,oxprenolol with cyclopenthiazide 160mg+0.25mg modified-release tablet,1
8707,trandate 200mg tablets (focus pharmaceuticals ltd),1
8765,atenolol/chlorthalidone 50 mg tab,1
8788,timolol 10mg/bendrofluazide 2.5mg tab,1
8807,trandate 400mg tablets (focus pharmaceuticals ltd),1
8935,nadolol 40mg tablets,1
8978,propanix 160mg modified-release capsule (ashbourne pharmaceuticals ltd),1
8987,propranolol 160mg modified-release / bendroflumethiazide 5mg capsules,1
9016,trandate 100mg tablets (focus pharmaceuticals ltd),1
9143,viskaldix tablets (amco),1
9178,atenolol 25mg / bendroflumethiazide 1.25mg capsules,1
9185,propranolol 80mg/5ml oral solution,1
9273,trandate 50mg tablets (focus pharmaceuticals ltd),1
9292,sotalol 160mg tablets,1
9783,co-tenidone 50mg/12.5mg tablets,1
10191,atenix 50 tablets (ashbourne pharmaceuticals ltd),1
10294,inderal 1mg/1ml solution for injection ampoules (astrazeneca uk ltd),1
10429,lopresor 50mg tablet (novartis pharmaceuticals uk ltd),1
10627,co-betaloc tablets (pfizer ltd),1
10716,corgard 80mg tablets (sanofi),1
10777,trasicor 160mg tablet (novartis pharmaceuticals uk ltd),1
10892,emcor 10mg tablets (merck serono ltd),1
11338,bendroflumethiazide 5mg with nadolol 40mg tablets,1
11380,sotacor 160mg tablets (bristol-myers squibb pharmaceuticals ltd),1
11711,propranolol 50mg/5ml oral solution,1
11793,metoprolol 50mg/5ml oral suspension,1
12037,betim 10mg tablet (icn pharmaceuticals france s.a.),1
12054,propranolol 80mg / bendroflumethiazide 2.5mg capsules,1
12119,sotalol hcl s/r 80 mg tab,1
12296,sectral 100mg capsules (sanofi),1
12456,sotazide tablet (bristol-myers squibb pharmaceuticals ltd),1
12495,berkolol 10mg tablet (berk pharmaceuticals ltd),1
12497,oxprenolol 10 mg tab,1
12517,timolol maleate with bendroflumethiazide 20mg + 5mg tablet,1
12651,timolol 10mg / bendroflumethiazide 2.5mg tablets,1
13051,sotalol 200mg tablets,1
13309,trasicor 2 mg inj,1
13394,tenormin 25mg/5ml syrup (astrazeneca uk ltd),1
13415,corgard 40mg tablets (sanofi-synthelabo ltd),1
13487,beta-cardone 200mg tablets (focus pharmaceuticals ltd),1
13499,lopresor 100mg tablet (novartis pharmaceuticals uk ltd),1
13526,atenix co 100 tablets (ashbourne pharmaceuticals ltd),1
13871,co-prenozide 160mg/0.25mg modified-release tablets,1
14030,cardicor 2.5mg tablets (merck serono ltd),1
14057,pindolol 10mg / clopamide 5mg tablets,1
14058,cardicor 1.25mg tablets (merck serono ltd),1
14117,eucardic 3.125mg tablets (roche products ltd),1
14126,acebutolol 200mg / hydrochlorothiazide 12.5mg tablets,1
14146,eucardic 6.25mg tablets (roche products ltd),1
14438,corgaretic 80mg tablets (sanofi-synthelabo ltd),1
14502,metoprolol 5mg/5ml solution for injection ampoules,1
14552,propanix 10mg tablet (ashbourne pharmaceuticals ltd),1
14673,pindolol 15mg tablets,1
14808,bedranol sr 80mg capsules (sandoz ltd),1
15042,tolerzide tablet (bristol-myers squibb pharmaceuticals ltd),1
15117,nifedipine with atenolol 20mg + 50mg capsule,1
15176,totamol 50mg tablet (c p pharmaceuticals ltd),1
15488,metoprolol tartrate with chlortalidone tablet,1
15619,half-betadur cr 80mg capsule (monmouth pharmaceuticals ltd),1
15730,totamol 100mg tablet (c p pharmaceuticals ltd),1
16645,labrocol 400mg tablet (lagap),1
16669,lopresor sr 200 mg tab,1
16776,celectol 400mg tablet (pantheon healthcare ltd),1
16786,chlortalidone 25mg with atenolol 100mg tablets,1
17082,syprol 5mg/5ml oral solution (rosemont pharmaceuticals ltd),1
17122,isoprenaline hydrochloride 200micrograms/1ml solution for injection ampoules,1
17149,monozide 10 tablets (wyeth pharmaceuticals),1
17322,atenix 25 tablets (ashbourne pharmaceuticals ltd),1
17462,bisoprolol 10mg / hydrochlorothiazide 6.25mg tablets,1
17615,cardicor 5mg tablets (merck serono ltd),1
17679,sotalol 10mg/ml injection,1
17783,spiroprop tablet (pharmacia ltd),1
17876,metoprolol fumarate 190 mg tab,1
18185,cardicor 7.5mg tablets (merck serono ltd),1
18287,co-betaloc sa tablets (pfizer ltd),1
18414,eucardic 12.5mg tablets (roche products ltd),1
18722,carvedilol,1
18743,tenben 25mg/1.25mg capsules (galen ltd),1
18950,totamol 25mg tablet (c p pharmaceuticals ltd),1
