prodcode,prodname,antiplat
29,Amlodipine besilate 5mg tablets,1
71,Amlodipine besilate 10mg tablets,1
219,Diltiazem 120mg modified-release tablets,1
269,Nifedipine 5mg capsules,1
410,Nifedipine 10mg modified-release tablets,1
452,Nifedipine 10mg capsules,1
491,Felodipine 2.5mg modified-release tablets,1
501,Felodipine 5mg modified-release tablets,1
517,Adizem sr 120mg Modified-release capsule (Napp Pharmaceuticals Ltd),1
536,Tildiem la 200mg Modified-release capsule (Sanofi),1
541,Adalat LA 20 tablets (Bayer Plc),1
568,Felodipine 10mg modified-release tablets,1
636,Diltiazem 60mg modified-release capsules,1
662,Adalat 5mg capsules (Bayer Plc),1
700,Vera-Til SR 120mg tablets (Tillomed Laboratories Ltd),1
729,Amlodipine maleate 5mg tablets,1
737,Nifedipine 20mg modified-release capsules,1
749,Amlodipine 5mg tablets,1
793,Adizem xl 240mg Capsule (Napp Pharmaceuticals Ltd),1
939,Tildiem Retard 90mg tablets (Sanofi),1
1118,Verapamil 40mg tablets,1
1120,Verapamil 80mg tablets,1
1130,Viazem XL 300mg capsules (Thornton & Ross Ltd),1
1262,Nifedipine 12 20mg Modified-release tablet,1
1289,Tildiem Retard 120mg tablets (Sanofi),1
1298,Verapamil 240mg modified-release tablets,1
1300,Nifensar xl 20mg Modified-release tablet (Rhone-Poulenc Rorer Ltd),1
1449,Nifedipine 24 30mg Modified-release tablet,1
1538,Diltiazem 60mg tablets,1
1574,Verapamil 120mg modified-release capsules,1
1684,Beta-Adalat modified-release capsules (Bayer Plc),1
1686,Diltiazem 90mg modified-release capsules,1
1747,Verapamil 120mg tablets,1
1748,Cordilox 120mg tablets (IVAX Pharmaceuticals UK Ltd),1
1836,Diltiazem 60mg modified-release tablets,1
1854,Adalat la 30mg Tablet (Bayer Plc),1
1995,Diltiazem 12hr 120mg modified-release capsules,1
2280,Adalat retard 10mg tablets (Bayer Plc),1
2343,Adalat retard 20mg tablets (Bayer Plc),1
2453,Diltiazem 60mg modified-release capsules,1
2521,Adalat 10mg capsules (Bayer Plc),1
2528,Slozem 120mg capsules (Merck Serono Ltd),1
2592,Viazem XL 120mg capsules (Thornton & Ross Ltd),1
2605,Nifedipine 10mg modified-release capsules,1
2663,Diltiazem 240mg modified-release capsules,1
2686,Dilzem xl mr 240mg Modified-release capsule (Elan Pharma),1
2746,Coracten SR 10mg capsules (UCB Pharma Ltd),1
2811,Adizem sr 180mg Modified-release capsule (Napp Pharmaceuticals Ltd),1
2888,Tildiem 60mg modified-release tablets (Sanofi),1
2926,Nicardipine 20mg capsules,1
3057,Securon 120mg tablets (Abbott Laboratories Ltd),1
3061,Diltiazem 12hr 180mg modified-release capsules,1
3118,Adizem sr 90mg Modified-release capsule (Napp Pharmaceuticals Ltd),1
3221,Lacidipine 4mg tablets,1
3302,Cardene SR 30mg capsules (Astellas Pharma Ltd),1
3342,Securon SR 240mg tablets (BGP Products Ltd),1
3343,Half Securon SR 120mg tablets (BGP Products Ltd),1
3370,Dilzem xl mr 120mg Modified-release capsule (Elan Pharma),1
3676,Dilzem xl mr 180mg Modified-release capsule (Elan Pharma),1
3711,Adipine MR 20 tablets (Chiesi Ltd),1
3712,Coracten XL 30mg capsules (UCB Pharma Ltd),1
3917,Istin 5mg tablets (Pfizer Ltd),1
3930,Nifedipine 60mg modified-release tablets,1
3943,Verapamil 240mg modified-release capsules,1
4227,Adalat la 60mg Tablet (Bayer Plc),1
4239,Adipine MR 10 tablets (Chiesi Ltd),1
4308,Dilzem sr 90mg Capsule (Elan Pharma),1
4408,Slozem 240mg capsules (Merck Serono Ltd),1
4542,Atenolol 50mg / Nifedipine 20mg modified-release capsules,1
4635,Diltiazem 200mg modified-release capsules,1
4732,Diltiazem 90mg modified-release tablets,1
4808,Diltiazem 240mg modified-release capsules,1
4852,Adizem sr 120mg Modified-release tablet (Napp Pharmaceuticals Ltd),1
4856,Coracten SR 20mg capsules (UCB Pharma Ltd),1
4923,Diltiazem 24hr 180mg modified-release capsules,1
4939,Coracten XL 60mg capsules (UCB Pharma Ltd),1
5054,Angitil SR 180 capsules (Chiesi Ltd),1
5158,Lacidipine 2mg tablets,1
5162,Nifedipine 30mg modified-release capsules,1
5181,Angiopine MR 20mg tablets (Ashbourne Pharmaceuticals Ltd),1
5194,Dilzem sr 120mg Capsule (Elan Pharma),1
5234,Slozem 180mg capsules (Merck Serono Ltd),1
5277,Fortipine LA 40 tablets (AMCo),1
5296,Tildiem la 300mg Modified-release capsule (Sanofi),1
5326,Diltiazem 24hr 300mg modified-release capsules,1
5348,Diltiazem 300mg modified-release capsules,1
5477,Nicardipine 30mg modified-release capsules,1
5513,Dilzem sr 60mg Capsule (Elan Pharma),1
5570,Zanidip 10mg tablets (Recordati Pharmaceuticals Ltd),1
5593,Lercanidipine 10mg tablets,1
5806,Tensipine MR 20 tablets (Genus Pharmaceuticals Ltd),1
5914,Istin 10mg tablets (Pfizer Ltd),1
6309,Adizem xl 300mg Capsule (Napp Pharmaceuticals Ltd),1
6477,Amlodipine maleate 10mg tablets,1
6510,Univer 120mg modified-release capsules (Teva UK Ltd),1
6856,Amlodipine 10mg tablets,1
7280,Plendil 10mg modified-release tablets (AstraZeneca UK Ltd),1
7398,Viazem XL 360mg capsules (Thornton & Ross Ltd),1
7541,Nifopress Retard 20mg tablets (AMCo),1
7562,Cardene 30mg capsules (Astellas Pharma Ltd),1
7823,NIFEDIPINE TAB 5 mg,1
8024,DILTIAZEM HCl XL 300 MG CAP,1
8201,Nicardipine 30mg capsules,1
8213,Nifedipine 24 20mg Modified-release tablet,1
8257,Prescal 2.5mg tablets (Novartis Pharmaceuticals UK Ltd),1
8310,Isradipine 2.5mg tablets,1
8524,Securon 40mg Tablet (Abbott Laboratories Ltd),1
8558,Adizem xl 120mg Capsule (Napp Pharmaceuticals Ltd),1
8642,Tenif 50mg/20mg modified-release capsules (AstraZeneca UK Ltd),1
8759,Verapamil hcl 120mg modified release tablets,1
8884,Cordilox 40mg tablets (IVAX Pharmaceuticals UK Ltd),1
8945,Univer 240mg modified-release capsules (Teva UK Ltd),1
8975,Verapamil 180mg modified-release capsules,1
9094,DILTIAZEM HCl SR 300 MG CAP,1
