prodcode,prodname,diuretics
56244,Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets (Tillomed Laboratories Ltd),1
51258,Coversyl Arginine Plus 5mg/1.25mg tablets (DE Pharmaceuticals),1
62537,Co-tenidone 100mg/25mg tablets (DE Pharmaceuticals),1
66997,MicardisPlus 40mg/12.5mg tablets (Waymade Healthcare Plc),1
66017,Furosemide 20mg tablets (Almus Pharmaceuticals Ltd),1
71950,Furosemide 20mg tablets (Waymade Healthcare Plc),1
56375,Furosemide 40mg tablets (Accord Healthcare Ltd),1
69445,Furosemide 40mg/5ml oral solution sugar free (Sigma Pharmaceuticals Plc),1
53812,Bendroflumethiazide oral solution,1
55548,Bumetanide 1mg tablets (Alliance Healthcare (Distribution) Ltd),1
48039,Losartan 100mg / Hydrochlorothiazide 12.5mg tablets (Teva UK Ltd),1
64677,Furosemide 40mg tablets (DE Pharmaceuticals),1
72042,Bendroflumethiazide 2.5mg tablets (Alliance Healthcare (Distribution) Ltd),1
47687,Spiretic 25mg Tablet (DDSA Pharmaceuticals Ltd),1
56296,Indapamide 2.5mg tablets (Boston Healthcare Ltd),1
62771,Indapamide 1.5mg modified-release tablets (DE Pharmaceuticals),1
59290,Furosemide 20mg tablets (Alliance Healthcare (Distribution) Ltd),1
67737,Bendroflumethiazide 2.5mg tablets (Dr Reddy's Laboratories (UK) Ltd),1
67738,Bendroflumethiazide 5mg tablets (Dr Reddy's Laboratories (UK) Ltd),1
50607,Perindopril arginine 2mg with Indapamide 625 micrograms tablet,1
62024,Bumetanide 5mg tablets (A A H Pharmaceuticals Ltd),1
55160,Cozaar-Comp 50mg/12.5mg tablets (Sigma Pharmaceuticals Plc),1
71618,Losartan 100mg / Hydrochlorothiazide 12.5mg tablets (A A H Pharmaceuticals Ltd),1
48132,Hydrochlorothiazide Capsule,1
70754,Losartan 50mg / Hydrochlorothiazide 12.5mg tablets (Ranbaxy (UK) Ltd),1
48745,Timolol 10mg / Amiloride 2.5mg / Hydrochlorothiazide 25mg tablets,1
48098,Perindopril arginine 4mg with Indapamide 1.25mg tablet,1
56760,Indapamide 2.5mg tablets (Strides Shasun (UK) Ltd),1
63237,Furosemide 20mg tablets (Boston Healthcare Ltd),1
71010,Spironolactone 25mg tablets (Genesis Pharmaceuticals Ltd),1
54643,Metolazone Oral solution,1
56051,Furosemide 20mg tablets (Kent Pharmaceuticals Ltd),1
63963,Mannitol 50g/250ml (20%) infusion bags,1
54316,Indapamide 2.5mg tablets (Alliance Healthcare (Distribution) Ltd),1
60343,Spironolactone 25mg tablets (Kent Pharmaceuticals Ltd),1
70922,Losartan 100mg / Hydrochlorothiazide 12.5mg tablets (Phoenix Healthcare Distribution Ltd),1
46699,Furosemide 40mg tablets (Almus Pharmaceuticals Ltd),1
57488,Hydrochlorothiazide Oral solution,1
56204,Losartan 50mg / Hydrochlorothiazide 12.5mg tablets (Actavis UK Ltd),1
36519,Esidrex -k Tablet (Novartis Pharmaceuticals UK Ltd),1
67767,Lisinopril 10mg / Hydrochlorothiazide 12.5mg tablets (Almus Pharmaceuticals Ltd),1
54825,Furosemide 20mg tablets (Sigma Pharmaceuticals Plc),1
49529,Indapamide 2.5mg tablets (Phoenix Healthcare Distribution Ltd),1
70509,Indapamide 2.5mg tablets (DE Pharmaceuticals),1
60354,Co-amilozide 2.5mg/25mg tablets (Kent Pharmaceuticals Ltd),1
70989,Bendroflumethiazide 2.5mg tablets (Genesis Pharmaceuticals Ltd),1
63890,MicardisPlus 80mg/12.5mg tablets (Waymade Healthcare Plc),1
59412,Co-amilofruse 5mg/40mg tablets (Waymade Healthcare Plc),1
26292,Diuresal 40mg Tablet (Lagap),1
62700,Co-amilozide 5mg/50mg tablets (Phoenix Healthcare Distribution Ltd),1
61475,Furosemide 20mg tablets (DE Pharmaceuticals),1
67913,Spironolactone 50mg tablets (Kent Pharmaceuticals Ltd),1
61000,Mannitol 50g/500ml (10%) infusion bags,1
52937,Mannitol 50g/500ml (10%) infusion polyethylene bottles,1
55738,Furosemide 50mg/5ml solution for injection ampoules (Hameln Pharmaceuticals Ltd),1
70650,Furosemide 50mg/5ml solution for injection ampoules (Peckforton Pharmaceuticals Ltd),1
60291,Furosemide 40mg tablets (AMCo),1
53967,Furosemide 20mg tablets (Bristol Laboratories Ltd),1
48079,Indapamide 2.5mg tablets (Zentiva),1
54201,Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets (Almus Pharmaceuticals Ltd),1
57796,Cozaar-Comp 50mg/12.5mg tablets (DE Pharmaceuticals),1
63555,Bumetanide 1mg tablets (Phoenix Healthcare Distribution Ltd),1
66517,Bendroflumethiazide 1.25mg/5ml oral suspension,1
64907,Bendroflumethiazide 5mg tablets (Almus Pharmaceuticals Ltd),1
40738,Torem iv 10mg/2ml Intravenous injection (Boehringer Mannheim UK Ltd),1
67664,Valsartan 160mg / Hydrochlorothiazide 12.5mg tablets (Teva UK Ltd),1
31013,Mersalyl 50mg/ml Injection,1
45916,Hydroflumethiazide with spironolactone 50mg+50mg Tablet,1
41828,Furosemide 500mg tablets (Actavis UK Ltd),1
34449,Co-tenidone 50mg/12.5mg tablets (Mylan),1
29397,Spiretic 100mg Tablet (DDSA Pharmaceuticals Ltd),1
57908,Co-amilofruse 5mg/40mg tablets (Kent Pharmaceuticals Ltd),1
64798,Chlorothiazide 120mg/5ml oral solution,1
52900,Furosemide 80mg/8ml solution for injection Minijet pre-filled syringes (UCB Pharma Ltd),1
29529,Hydroflumethiazide with spironolactone 25mg+25mg Tablet,1
37294,Triamterene with chlortalidone 50mg + 25mg Tablet,1
40190,Torasemide iv 20mg/4ml Intravenous injection,1
54341,Chlorothiazide 5mg/5ml oral suspension,1
53508,Spironolactone 5mg/5ml / Chlorothiazide 50mg/5ml oral suspension,1
56975,Losartan 50mg / Hydrochlorothiazide 12.5mg tablets (A A H Pharmaceuticals Ltd),1
19056,Furosemide 50mg/5ml sugar free Oral solution (Rosemont Pharmaceuticals Ltd),1
66011,Eplerenone 50mg tablets (A A H Pharmaceuticals Ltd),1
61025,Spironolactone 20mg/5ml oral solution,1
70543,Eplerenone 50mg tablets (Actavis UK Ltd),1
65582,Spironolactone 3mg/5ml oral solution,1
52045,Furosemide 250mg/5ml solution for injection vials,1
32896,Furosemide 40mg tablets (Ranbaxy (UK) Ltd),1
34803,Bendroflumethiazide 2.5mg Tablet (Regent Laboratories Ltd),1
33659,Hydrochlorothiazide with metoprolol tartrate 25mg with 200mg Modified-release tablet,1
32002,Etacrynic 50mg/vial injection,1
40898,Torasemide 5mg tablets (A A H Pharmaceuticals Ltd),1
46116,Furosemide 10mg/ml Injection (Antigen Pharmaceuticals),1
22839,Clopamide with Potassium effervescent tablets,1
34613,Bumetanide 5mg tablets (Teva UK Ltd),1
60149,Amiloride 5mg/5ml oral suspension,1
46948,Furosemide 40mg tablets (Arrow Generics Ltd),1
64745,Furosemide 8mg/5ml oral suspension,1
41706,Spironolactone 50mg tablets (IVAX Pharmaceuticals UK Ltd),1
54329,Metolazone 5mg/5ml oral suspension,1
40907,Indapamide 2.5mg tablets (Genus Pharmaceuticals Ltd),1
46525,Torasemide 5mg tablets (Teva UK Ltd),1
55777,Metolazone 5mg/5ml oral solution,1
71748,Actelsar HCT 80mg/25mg tablets (Actavis UK Ltd),1
66149,Furosemide 4.5mg/5ml oral solution,1
52858,Co-Diovan 80mg/12.5mg tablets (Sigma Pharmaceuticals Plc),1
69334,Bendroflumethiazide 5mg with Nadolol 80mg tablets,1
30965,Mannitol 20% Infusion,1
69473,Spironolactone 3.5mg/5ml oral suspension,1
71871,Chlorothiazide 60mg/5ml oral suspension,1
63309,Spironolactone 6mg/5ml oral suspension,1
60660,Spironolactone 3mg/5ml oral suspension,1
68068,Furosemide 4mg/5ml oral solution,1
57104,Spironolactone 200mg/5ml oral suspension,1
59911,Furosemide 40mg tablets (Alliance Healthcare (Distribution) Ltd),1
55889,Chlorothiazide oral solution,1
34602,Bendroflumethiazide 2.5mg tablets (Sovereign Medical Ltd),1
64255,Furosemide 2mg/5ml oral solution,1
57600,Furosemide 20mg/2ml solution for injection ampoules (Alliance Healthcare (Distribution) Ltd),1
53253,Spironolactone 50mg/5ml oral suspension (Drug Tariff Special Order),1
63227,Chlorothiazide 70mg/5ml oral solution,1
65583,Furosemide 3mg/5ml oral solution,1
27696,Furosemide 40mg tablets (Kent Pharmaceuticals Ltd),1
69009,Zaroxolyn 5mg tablets (Imported (Canada)),1
58224,Furosemide 10mg/5ml oral solution,1
46674,Spironolactone 50mg/5ml Oral suspension sugar free (Rosemont Pharmaceuticals Ltd),1
46792,Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 5mg + 12.5mg Tablet,1
24835,Min-i-jet furosemide 10mg/ml Injection (Celltech Pharma Europe Ltd),1
47467,Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 5mg + 25mg Tablet,1
56067,Spironolactone 4mg/5ml oral solution,1
47844,Bendroflumethiazide 2.5mg tablets (Kent Pharmaceuticals Ltd),1
70918,Eplerenone 25mg tablets (Alliance Healthcare (Distribution) Ltd),1
61636,Tolvaptan 30mg tablets,1
58757,Spironolactone 20mg/5ml oral suspension,1
69338,Furosemide 40mg/5ml sugar free Oral solution (Rosemont Pharmaceuticals Ltd),1
49752,Metolazone 2.5mg/5ml oral solution,1
57610,Furosemide 20mg/5ml oral solution sugar free (Focus Pharmaceuticals Ltd),1
23131,Bendroflumethiazide 5mg with Propanolol 160mg modified-release capsules,1
8464,Meprobamate with bendroflumethiazide Tablet,1
57933,Spironolactone 40mg/5ml oral suspension,1
61365,Furosemide 40mg/5ml oral suspension,1
56274,Spironolactone 4.5mg/5ml oral suspension,1
62376,Actelsar HCT 80mg/12.5mg tablets (Actavis UK Ltd),1
37725,Co-tenidone 100mg/25mg tablets (Mylan),1
60603,Chlorothiazide 50mg/5ml oral suspension,1
43184,Mapemid XL 1.5mg tablets (Teva UK Ltd),1
64066,Indapamide 2.5mg/5ml oral suspension,1
46675,Indapamide 1.5mg modified-release tablets (A A H Pharmaceuticals Ltd),1
30519,Amiloride with timolol with hydrochlorothiazide tablets,1
62911,Losartan 50mg / Hydrochlorothiazide 12.5mg tablets (Teva UK Ltd),1
58225,Spironolactone 2.5mg/5ml oral suspension,1
48099,Indapamide 2.5mg tablets (A A H Pharmaceuticals Ltd),1
44254,Amiloride 5.67mg tablets,1
71398,Spironolactone 12.5mg/5ml oral solution,1
20436,Ammonium chloride 325mg / Caffeine 100mg gastro-resistant tablets,1
