prodcode,prodname,insulin
53118,NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pen (Mawdsley-Brooks & Company Ltd),1
56495,Lantus 100units/ml solution for injection 3ml pre-filled OptiSet pen (Waymade Healthcare Plc),1
52722,Human Mixtard 30 Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd),1
51743,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Sigma Pharmaceuticals Plc),1
62276,Humulin R 500units/ml solution for injection 20ml vials (Imported (United States)),1
71137,Hypurin Bovine Isophane 100units/ml suspension for injection 10ml vials (Waymade Healthcare Plc),1
63464,Humalog KwikPen 200units/ml solution for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),1
54462,Insulin biphasic isophane human emp 25:75; 100 units/ml Injection,1
64354,Toujeo 300units/ml solution for injection 1.5ml pre-filled SoloStar pen (Sanofi),1
67313,NovoRapid 100units/ml solution for injection 10ml vials (Sigma Pharmaceuticals Plc),1
57529,Humalog 100units/ml solution for injection 10ml vials (Dowelhurst Ltd),1
56691,Insulin degludec 200units/ml solution for injection 3ml pre-filled disposable devices,1
69823,Fiasp FlexTouch 100units/ml solution for injection 3ml pre-filled pen (Novo Nordisk Ltd),1
55910,Tresiba Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd),1
67279,Pork Insulatard 100units/ml suspension for injection 10ml vials (Waymade Healthcare Plc),1
71340,Mixtard 30 Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc),1
67429,Insulin human 100units/ml solution for injection 3.15ml cartridges,1
66316,Lantus 100units/ml solution for injection 10ml vials (Mawdsley-Brooks & Company Ltd),1
67324,Humulin M3 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc),1
69583,Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc),1
52748,Insulatard Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc),1
60951,Insulin human 100units/ml solution for injection 10ml vials,1
71118,Insulatard 100units/ml suspension for injection 10ml vials (Waymade Healthcare Plc),1
71351,Lantus 100units/ml solution for injection 3ml cartridges (Waymade Healthcare Plc),1
71395,Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Sigma Pharmaceuticals Plc),1
60938,Mixtard 30 100units/ml suspension for injection 10ml vials (Waymade Healthcare Plc),1
71369,NovoMix 30 FlexPen 100units/ml suspension for injection 3ml pre-filled pen (Sigma Pharmaceuticals Plc),1
55907,Insulin degludec 100units/ml solution for injection 3ml cartridges,1
55234,Tresiba FlexTouch 200units/ml solution for injection 3ml pre-filled pen (Novo Nordisk Ltd),1
56115,Human Actrapid Penfill 100units/ml solution for injection 1.5ml cartridges (Novo Nordisk Ltd),1
59500,Insulin isophane human 100units/ml suspension for injection 5ml vials,1
61845,NovoRapid PumpCart 100units/ml solution for injection 1.6ml cartridges (Novo Nordisk Ltd),1
52522,Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pen (DE Pharmaceuticals),1
53710,Insulin human 500units/ml solution for injection 20ml vials,1
55618,Levemir FlexPen 100units/ml solution for injection 3ml pre-filled pen (Waymade Healthcare Plc),1
68031,Humalog Mix25 KwikPen 100units/ml suspension for injection 3ml pre-filled pen (Sigma Pharmaceuticals Plc),1
71430,Humalog Mix25 Pen 100units/ml suspension for injection 3ml pre-filled pen (Waymade Healthcare Plc),1
57564,Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pen (Waymade Healthcare Plc),1
