prodcode,prodname,met
11601,Rosiglitazone 2mg / Metformin 500mg tablets,1
11604,Rosiglitazone 1mg / Metformin 500mg tablets,1
11609,Metformin with rosiglitazone 500mg + 1mg Tablet,1
11610,Metformin with rosiglitazone 500mg + 2mg Tablet,1
11717,Rosiglitazone 2mg / Metformin 1g tablets,1
11737,Metformin with rosiglitazone 1000mg + 4mg Tablet,1
11760,Metformin with rosiglitazone 1000mg + 2mg Tablet,1
11990,Metformin 500mg/5ml oral solution sugar free,1
14164,Avandamet 2mg/1000mg tablets (GlaxoSmithKline UK Ltd),1
16044,Glucophage SR 500mg tablets (Merck Serono Ltd),1
16213,METFORMIN 250 MG TAB,1
17580,Avandamet 1mg/500mg tablets (GlaxoSmithKline UK Ltd),1
18220,Pioglitazone 15mg / Metformin 850mg tablets,1
20810,METFORMIN,1
23,Metformin 500mg tablets,1
25678,Glucamet 500mg Tablet (Opus Pharmaceuticals Ltd),1
26258,Glucamet 850mg Tablet (Opus Pharmaceuticals Ltd),1
27501,Orabet 500mg Tablet (Lagap),1
2928,METFORMIN HCl 850 MG TAB,1
30316,Metformin with pioglitazone 850mg + 15mg Tablet,1
31077,Competact 15mg/850mg tablets (Takeda UK Ltd),1
31146,Metsol 500mg/5ml oral solution (Kappin Ltd),1
3252,METFORMIN HCl 500 MG TAB,1
33087,Metformin 500mg tablets (Actavis UK Ltd),1
33674,Metformin 850mg tablets (A A H Pharmaceuticals Ltd),1
34004,Metformin 500mg tablets (IVAX Pharmaceuticals UK Ltd),1
34020,Metformin 850mg tablets (IVAX Pharmaceuticals UK Ltd),1
34135,Metformin 500mg Tablet (M & A Pharmachem Ltd),1
34323,Metformin 500mg tablets (A A H Pharmaceuticals Ltd),1
34504,Metformin 500mg tablets (Wockhardt UK Ltd),1
34598,Metformin 500mg tablets (Mylan),1
34697,Metformin 850mg tablets (Wockhardt UK Ltd),1
34742,Metformin 850mg tablets (Teva UK Ltd),1
34836,Metformin 850mg tablets (Actavis UK Ltd),1
34917,Metformin 500mg tablets (Teva UK Ltd),1
37874,Vildagliptin 50mg / Metformin 850mg tablets,1
37902,Vildagliptin 50mg / Metformin 1g tablets,1
38355,Metformin 750mg modified-release tablets,1
38400,Glucophage SR 750mg tablets (Merck Serono Ltd),1
38551,Eucreas 50mg/1000mg tablets (Novartis Pharmaceuticals UK Ltd),1
39203,Eucreas 50mg/850mg tablets (Novartis Pharmaceuticals UK Ltd),1
39560,Bolamyn SR 500mg tablets (Teva UK Ltd),1
39598,Metformin 1g modified-release tablets,1
39729,Glucophage SR 1000mg tablets (Merck Serono Ltd),1
39988,Metformin 500mg oral powder sachets sugar free,1
40007,Glucophage 1000mg oral powder sachets (Merck Serono Ltd),1
40110,Glucophage 500mg oral powder sachets (Merck Serono Ltd),1
40233,Metformin 1g oral powder sachets sugar free,1
42161,Orabet 500mg Tablet (Sandoz Ltd),1
43270,Metformin 500mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd),1
43619,Metformin 1g / Sitagliptin 50mg tablets,1
43684,Janumet 50mg/1000mg tablets (Merck Sharp & Dohme Ltd),1
44250,Metformin 500mg/5ml Oral solution (Hillcross Pharmaceuticals Ltd),1
45581,Metabet SR 500mg tablets (Morningside Healthcare Ltd),1
46989,Metabet SR 1000mg tablets (Morningside Healthcare Ltd),1
47939,Glucient SR 500mg tablets (Consilient Health Ltd),1
48149,Metformin 500mg tablets (Almus Pharmaceuticals Ltd),1
