prodcode,prodname,nitrates
20915,Glyceryl trinitrate 400microgram/dose Pump spray cfc free (PLIVA Pharma Ltd),1
11189,Glyceryl trinitrate 2.5mg/24hr transdermal patch,1
6159,Nyzamac SR 60mg capsules (Ethypharm UK Ltd),1
5894,Percutol 2% ointment (Aspire Pharma Ltd),1
45845,Glyceryl trinitrate Ointment,1
4508,Isosorbide dinitrate 30mg tablets,1
25795,Isocard 30mg/dose transdermal spray (LPC Medical (UK) Ltd),1
8428,Sorbid-40 SA capsules (AstraZeneca UK Ltd),1
11969,Suscard Buccal 2mg tablets (Forest Laboratories UK Ltd),1
27485,Soni-Slo SR 40mg capsules (Lipha Pharmaceuticals Ltd),1
58079,Isosorbide mononitrate 20mg/5ml oral solution,1
68163,Glyceryl trinitrate 0.2% ointment (Drug Tariff Special Order),1
29072,Cedocard iv 1mg/ml Injection (Pharmacia Ltd),1
58386,Isosorbide mononitrate 20mg tablets (Kent Pharmaceuticals Ltd),1
6110,Glyceryl trinitrate 2mg modified-release buccal tablets sugar free,1
65741,Imdur 60mg modified-release tablets (Lexon (UK) Ltd),1
8651,Suscard buccal 3mg Tablet (Pharmax Ltd),1
13090,Isosorbide dinitrate 1.25mg/dose sublingual spray sugar free,1
5638,Percutol 2% w/v Ointment (Dominion Pharma),1
13553,Sustac 10mg modified-release tablets (Forest Laboratories UK Ltd),1
17883,Nitrocontin continus 6.4mg Tablet (Viatris Pharmaceuticals Ltd),1
20879,Isotard 50XL tablets (Kyowa Kirin Ltd),1
50809,Nitrolingual 400micrograms/dose pump sublingual spray (DE Pharmaceuticals),1
14731,Isodur 25XL capsules (Galen Ltd),1
18655,Nitrocontin continus 2.6mg Tablet (Viatris Pharmaceuticals Ltd),1
55520,Glyceryl trinitrate 500microgram sublingual tablets (Phoenix Healthcare Distribution Ltd),1
68029,Glyceryl trinitrate 600microgram sublingual tablets (A A H Pharmaceuticals Ltd),1
15069,Elantan 40mg Tablet (UCB Pharma Ltd),1
776,Isosorbide mononitrate 60mg modified-release capsules,1
2991,Glytrin 400microgram/dose Spray (Sanofi),1
4772,Glyceryl trinitrate 10mg/24hours transdermal patches,1
70008,Nitronal 50mg/50ml solution for infusion vials (Merck Serono Ltd),1
15746,Glyceryl trinitrate 500microgram sublingual tablets (A A H Pharmaceuticals Ltd),1
7317,Coro-Nitro 400micrograms/dose pump sublingual spray (J M Loveridge Ltd),1
9323,Nitro-dur 2.5mg/24 hr Transdermal patch (Merck Sharp & Dohme Ltd),1
621,Isosorbide mononitrate 60mg modified-release tablets,1
60336,Isosorbide mononitrate 10mg tablets (Waymade Healthcare Plc),1
16940,Zemon 60 XL tablets (Fannin UK Ltd),1
3909,Coro-nitro 400microgram/dose Pump spray cfc free (Roche Products Ltd),1
57688,Glyceryl trinitrate 400micrograms/dose aerosol sublingual spray (Sigma Pharmaceuticals Plc),1
