prodcode,prodname,other_hyper
1021,Innozide 20mg/12.5mg tablets (Merck Sharp & Dohme Ltd),1
10253,Moxonidine 300microgram tablets,1
10316,CoAprovel 150mg/12.5mg tablets (Sanofi),1
10323,Losartan 100mg / Hydrochlorothiazide 25mg tablets,1
10627,Co-Betaloc tablets (Pfizer Ltd),1
10713,Decaserpyl 5mg Tablet (Roussel Laboratories Ltd),1
10714,Methoserpidine 5mg Tablet,1
10902,Captopril 50mg with Hydrochlorothiazide 25mg tablets,1
11133,Hydrochlorothiazide with captopril 25mg with 50mg Tablet,1
11177,Physiotens 200microgram tablets (Mylan),1
1124,Tenoretic 100mg/25mg tablets (AstraZeneca UK Ltd),1
11265,Triamterene 50mg / Furosemide 40mg tablets,1
11338,Bendroflumethiazide 5mg with Nadolol 40mg tablets,1
11351,Co-zidocapt 25mg/50mg tablets,1
11384,Co-flumactone 50mg/50mg tablets,1
11448,Irbesartan 150mg / Hydrochlorothiazide 12.5mg tablets,1
11469,Irbesartan 300mg / Hydrochlorothiazide 12.5mg tablets,1
11526,CoAprovel 300mg/12.5mg tablets (Sanofi),1
11561,Co-zidocapt 12.5mg/25mg tablets,1
11567,Ramipril 5mg with felodipine 5mg modified-release tablet,1
11641,Captopril 25mg with Hydrochlorothiazide 12.5mg tablets,1
11864,Valsartan 160mg / Hydrochlorothiazide 12.5mg tablets,1
11965,Ramipril 2.5mg with felodipine 2.5mg modified-release tablet,1
12054,Propranolol 80mg / Bendroflumethiazide 2.5mg capsules,1
12456,Sotazide Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd),1
1251,Moduret 25 tablets (Merck Sharp & Dohme Ltd),1
12517,Timolol maleate with bendroflumethiazide 20mg + 5mg Tablet,1
12546,Kalspare Tablet (Dominion Pharma),1
12547,Triamterene 50mg / Chlortalidone 50mg tablets,1
12651,Timolol 10mg / Bendroflumethiazide 2.5mg tablets,1
1288,Tenoret 50mg/12.5mg tablets (AstraZeneca UK Ltd),1
1296,Hydralazine 50mg tablets,1
1297,Aldactide 50 tablets (Pfizer Ltd),1
1301,Frumil ls 20mg+2.5mg Tablet (Helios Healthcare Ltd),1
13317,Apresoline 20mg powder for solution for injection ampoules (AMCo),1
13379,Ismelin 25mg Tablet (Sovereign Medical Ltd),1
13435,Frumil Forte 10mg/80mg tablets (Sanofi),1
13526,Atenix Co 100 tablets (Ashbourne Pharmaceuticals Ltd),1
1369,Furosemide with amiloride 40mg+5mg Tablet,1
13871,Co-prenozide 160mg/0.25mg modified-release tablets,1
14126,Acebutolol 200mg / Hydrochlorothiazide 12.5mg tablets,1
14228,Coversyl Plus tablets (Servier Laboratories Ltd),1
14283,Valsartan 160mg / Hydrochlorothiazide 25mg tablets,1
14390,Aldomet 250mg/5ml Liquid (Merck Sharp & Dohme Ltd),1
14438,Corgaretic 80mg tablets (Sanofi-Synthelabo Ltd),1
14495,Loniten 10mg tablets (Pfizer Ltd),1
14587,Amiloride 5mg / Bumetanide 1mg tablets,1
14738,Hydrochlorothiazide with losartan 12.5mg with 50mg Tablet,1
14870,Telmisartan 40mg / Hydrochlorothiazide 12.5mg tablets,1
15031,Accuretic 12.5mg/10mg tablets (Pfizer Ltd),1
15042,Tolerzide Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd),1
15108,Quinapril 10mg / Hydrochlorothiazide 12.5mg tablets,1
15117,Nifedipine with atenolol 20mg + 50mg Capsule,1
15127,Hydrochlorothiazide with triamterene 25mgwith50mg Tablet,1
15135,Hydrochlorothiazide with captopril 12.5mg with 25mg Tablet,1
1520,Capozide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),1
15488,Metoprolol tartrate with chlortalidone Tablet,1
15493,Reserpine with hydrochlorothiazide tablet,1
15811,Co-flumactone 25mg/25mg tablets,1
15874,Amiloride 2.5mg / furosemide 20mg tablets,1
16060,Valsartan 80mg / Hydrochlorothiazide 12.5mg tablets,1
16161,Telmisartan 80mg / Hydrochlorothiazide 12.5mg tablets,1
16248,Clonidine 150micrograms/1ml solution for injection ampoules,1
16498,Kalspare tablets (DHP Healthcare Ltd),1
16786,Chlortalidone 25mg with Atenolol 100mg tablets,1
1684,Beta-Adalat modified-release capsules (Bayer Plc),1
17006,Triapin 5mg/5mg modified-release tablets (Sanofi),1
1707,Methyldopa 250mg tablets,1
17149,Monozide 10 tablets (Wyeth Pharmaceuticals),1
1721,Dyazide 50mg/25mg tablets (AMCo),1
17291,Guanethidine 25mg Tablet,1
17462,Bisoprolol 10mg / Hydrochlorothiazide 6.25mg tablets,1
17474,Felodipine 5mg modified-release / Ramipril 5mg tablets,1
17655,Carace 10 Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd),1
17689,MicardisPlus 80mg/12.5mg tablets (Boehringer Ingelheim Ltd),1
17721,ALDACTIDE 100 MG TAB,1
17783,Spiroprop Tablet (Pharmacia Ltd),1
1788,Atenolol 100mg with Chlortalidone 25mg tablets,1
18200,Olmesartan medoxomil 20mg / Hydrochlorothiazide 12.5mg tablets,1
18202,MicardisPlus 40mg/12.5mg tablets (Boehringer Ingelheim Ltd),1
18223,Trandolapril with verapamil 2mg + 180mg Modified-release capsule,1
18263,Acezide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),1
18287,Co-Betaloc SA tablets (Pfizer Ltd),1
18332,Aridil 20mg+2.5mg Tablet (C P Pharmaceuticals Ltd),1
18361,Amilmaxco 5mg/50mg tablets (Ashbourne Pharmaceuticals Ltd),1
18497,Amiloride 10mg / furosemide 80mg tablets,1
18606,Diltiazem and hydrochlorothiazide 150mg+12.5mg modified-release capsules,1
18726,Triamaxco 50mg/25mg tablets (Ashbourne Pharmaceuticals Ltd),1
18733,Co-amilozide 5mg with 50mg/ml oral solution,1
18743,Tenben 25mg/1.25mg capsules (Galen Ltd),1
18861,Hydralazine 10mg/5ml oral suspension,1
18903,Olmesartan medoxomil 20mg / Hydrochlorothiazide 25mg tablets,1
18938,MINOXIDIL 1 % TAB,1
19003,SPIRONOLACTONE/PROPRANOLOL 50 MG TAB,1
19055,Chlortalidone 12.5mg with Atenolol 50mg tablets,1
19142,Bendroflumethiazide 2.5mg with Timolol maleate 10mg tablets,1
193,Co-amilofruse 2.5mg/20mg tablets,1
19611,AMILORIDE 5MG/HYDROCHLORTHIAZIDE 50MG,1
19635,DIXARIT,1
19687,MODUCREN,1
19690,Verapamil 180mg modified-release / Trandolapril 2mg capsules,1
19721,AMILORIDE 5MG/HYDROCHLORTHIAZIDE 50MG,1
19890,Hydrochlorothiazide with amiloride 25mgwith2.5mg Tablet,1
19892,Serpasil -esidrex Tablet (Novartis Pharmaceuticals UK Ltd),1
2001,Aldactide 25 tablets (Pfizer Ltd),1
2002,Amiloride 5mg / hydrochlorothiazide 50mg tablets,1
20066,Amil-Co 5mg/50mg tablets (IVAX Pharmaceuticals UK Ltd),1
20093,Metoprolol 200mg modified-release / Hydrochlorothiazide 25mg tablets,1
20579,Tarka modified-release capsules (Abbott Laboratories Ltd),1
20656,Serpasil 250microgram Tablet (Novartis Pharmaceuticals UK Ltd),1
20690,Reserpine 250micrograms tablet,1
20808,CATAPRES PERLONGETS,1
21025,Prestim forte Tablet (LEO Pharma),1
2104,Rauwiloid 2mg Tablet (3M Health Care Ltd),1
211,Frumil 40mg+5mg Tablet (Helios Healthcare Ltd),1
21162,Felodipine 2.5mg modified-release / Ramipril 2.5mg tablets,1
21182,Hydrochlorothiazide with timolol and amiloride 25mg with 10mg with 2.5mg Tablet,1
21231,Caralpha 20mg/12.5mg tablets (Actavis UK Ltd),1
21346,Hydromet Tablet (MSD Thomas Morson Pharmaceuticals),1
214,HYDRALAZINE 1 MG SYR,1
