prodcode,prodname,other_lipid
10094,Niaspan titration pack (Abbott Laboratories Ltd),1
11976,Niaspan 500mg modified-release tablets (Abbott Laboratories Ltd),1
1212,Colestipol 5g granules sachets sugar free,1
1214,Bezalip 400mg Tablet (Roche Products Ltd),1
1215,Fenofibrate 100mg Capsule,1
1217,Lipantil micro 200 200mg Capsule (Fournier Pharmaceuticals Ltd),1
12211,Nicotinic acid 50mg tablets,1
12231,CHOLESTYRAMINE POW,1
1322,Clofibrate 500mg capsules,1
1324,Bezalip 200mg Tablet (Roche Products Ltd),1
14037,Eicosapentaenoic acid 170mg / Docosahexaenoic acid 115mg capsules,1
14209,Eicosapentaenoic acid 170mg/g / Docosahexaenoic acid 115mg/g oral liquid,1
14379,Lipantil Micro 67 capsules (Mylan),1
14963,Nicotinic acid 500mg modified-release tablets,1
15594,COLESTIPOL HCl GRA,1
1716,Questran 4g oral powder sachets (Bristol-Myers Squibb Pharmaceuticals Ltd),1
17614,Zimbacol XL 400mg tablets (Archimedes Pharma UK Ltd),1
1764,Questran Light 4g oral powder sachets (Bristol-Myers Squibb Pharmaceuticals Ltd),1
17813,Nicotinic acid 100mg Tablet,1
17824,Nicotinic acid 25mg Tablet,1
18081,Colestid Orange 5g granules sachets (Pfizer Ltd),1
18098,Nicotinic acid 375mg + 500mg + 750mg Modified-release tablet,1
18126,Nicotinic acid 1g modified-release tablets,1
184,Bezafibrate 200mg tablets,1
19792,QUESTRAN SACHET,1
19938,Colestipol with aspartame granules,1
20736,CHOLESTYRAMINE SACHETS,1
2215,Lopid 300mg capsules (Pfizer Ltd),1
23153,Liparol 400 XL tablets (Ashbourne Pharmaceuticals Ltd),1
23634,GEMFIBROZIL,1
23956,Maxepa Liquid (Seven Seas Ltd),1
24009,NICOTINIC ACID 500 MG TAB,1
2435,Lipantil 100mg Capsule (Fournier Pharmaceuticals Ltd),1
24583,Nicotinic acid 750mg modified-release tablets,1
25018,BEZAFIBRATE,1
26566,COLESTID SACHETS,1
2662,MaxEPA 1g capsules (Seven Seas Ltd),1
29213,Bezagen XL 400mg tablets (Mylan),1
29328,Bezafibrate 200mg tablets (A A H Pharmaceuticals Ltd),1
3089,Ciprofibrate 100mg tablets,1
31221,Bezafibrate 200mg tablets (Mylan),1
3159,Fenofibrate 200mg capsules,1
31783,Fenogal 200mg capsules (Genus Pharmaceuticals Ltd),1
3204,MaxEPA liquid (Seven Seas Ltd),1
3318,Gemfibrozil 300mg capsules,1
33603,Fibrazate XL 400mg tablets (Sandoz Ltd),1
33944,Bezafibrate 200mg tablets (Teva UK Ltd),1
34181,Bezafibrate 400mg Modified-release tablet (Hillcross Pharmaceuticals Ltd),1
34277,Gemfibrozil 600mg tablets (Teva UK Ltd),1
37266,Colesevelam 625mg tablets,1
37953,Cholestagel 625mg tablets (Sanofi),1
39420,Bezalip Mono 400mg modified-release tablets (Teva UK Ltd),1
39576,Bezalip 200mg tablets (Teva UK Ltd),1
4062,Lopid 600mg tablets (Pfizer Ltd),1
4067,Olbetam 250mg capsules (Pfizer Ltd),1
40729,Tredaptive 1000mg/20mg modified-release tablets (Merck Sharp & Dohme Ltd),1
40885,Nicotinic acid 1g / Laropiprant 20mg modified-release tablets,1
41396,Fenofibrate micronised 200mg capsules (A A H Pharmaceuticals Ltd),1
42801,Bezafibrate xl 400mg Modified-release tablet (Generics (UK) Ltd),1
47935,Fenofibrate 200mg Capsule (Teva UK Ltd),1
48585,Nicotinic acid 500mg capsules,1
