prodcode,prodname,statins
25,simvastatin 20mg tablets,1
28,atorvastatin 10mg tablets,1
42,simvastatin 10mg tablets,1
51,simvastatin 40mg tablets,1
75,atorvastatin 20mg tablets,1
379,fluvastatin 20mg capsules,1
420,cerivastatin 100microgram tablets,1
490,pravastatin 10mg tablets,1
713,rosuvastatin 10mg tablets,1
730,pravastatin 20mg tablets,1
745,atorvastatin 40mg tablets,1
802,simvador 40mg tablets (discovery pharmaceuticals),1
818,simvastatin 20mg/5ml oral solution sugar free,1
1219,pravastatin 40mg tablets,1
1221,lipostat 10mg tablets (bristol-myers squibb pharmaceuticals ltd),1
1223,lipostat 40mg tablets (bristol-myers squibb pharmaceuticals ltd),1
2137,fluvastatin 40mg capsules,1
2718,zocor 10mg tablets (merck sharp & dohme ltd),1
2955,lipitor 40mg tablets (pfizer ltd),1
3411,lipitor 10mg tablets (pfizer ltd),1
3690,lipostat 20mg tablets (bristol-myers squibb pharmaceuticals ltd),1
4302,sandostatin multidose 1 mg/5ml inj,1
4961,lipobay 300microgram tablet (bayer plc),1
5009,cerivastatin 200microgram tablets,1
5148,simvastatin 80mg tablets,1
5199,sandostatin lar 10mg powder and solvent for suspension for injection vials (novartis pharmaceuticals uk ltd),1
5251,cerivastatin 300microgram tablets,1
5278,cerivastatin 400microgram tablets,1
5775,atorvastatin 80mg tablets,1
5985,lescol xl 80mg tablets (novartis pharmaceuticals uk ltd),1
6168,zocor 40mg tablets (merck sharp & dohme ltd),1
6213,rosuvastatin 20mg tablets,1
7196,zocor 20mg tablets (merck sharp & dohme ltd),1
7347,crestor 10mg tablets (astrazeneca uk ltd),1
7374,lipitor 20mg tablets (pfizer ltd),1
7552,simvastatin 20mg / ezetimibe 10mg tablets,1
7554,rosuvastatin 5mg tablets,1
8133,sandostatin 100micrograms/1ml solution for injection ampoules (novartis pharmaceuticals uk ltd),1
8380,lescol 20mg capsules (novartis pharmaceuticals uk ltd),1
9153,lescol 40mg capsules (novartis pharmaceuticals uk ltd),1
9315,lipobay 100microgram tablet (bayer plc),1
9316,lipobay 200microgram tablet (bayer plc),1
9897,rosuvastatin 40mg tablets,1
9920,simvador 20mg tablets (discovery pharmaceuticals),1
9930,crestor 40mg tablets (astrazeneca uk ltd),1
10172,simvastatin 40mg / ezetimibe 10mg tablets,1
10183,simvastatin 40mg with ezetimibe 10mg tablet,1
