icd,term,htn_hes
I10,Essential (primary) hypertension,1
I11,Hypertensive heart disease,1
I11.0,Hypertensive heart disease with (congestive) heart failure,1
I11.9,Hypertensive heart disease without (congestive) heart failure,1
I12,Hypertensive renal disease,1
I12.0,Hypertensive renal disease with renal failure,1
I12.9,Hypertensive renal disease without renal failure,1
I13,Hypertensive heart and renal disease,1
I13.0,Hypertensive heart and renal disease with (congestive) heart failure,1
I13.1,Hypertensive heart and renal disease with renal failure,1
I13.2,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,1
I13.9,Hypertensive heart and renal disease, unspecified,1
