icd,term,ihdb_hes
I20,Angina pectoris,1
I20.0,Unstable angina,1
I20.1, Angina pectoris with documented spasm,1
I20.2,Refractory angina pectoris,1
I20.8,Other forms of angina pectoris,1
I20.9,Angina pectoris, unspecified,1
I24,Other acute ischaemic heart diseases,1
I24.0,Coronary thrombosis not resulting in myocardial infarction,1
I24.8,Other forms of acute ischaemic heart disease,1
I24.9,Acute ischaemic heart disease,1
Z95.5,Presence of coronary angioplasty implant and graft,1
I25,Chronic ischaemic heart disease,1
I25.0,Atherosclerotic cardiovascular disease,1
I25.1,Atherosclerotic heart disease,1
I25.3,Aneurysm of heart,1
I25.4,Coronary artery aneurysm,1
I25.5,Ischaemic cardiomyopathy,1
I25.6,Silent myocardial ischaemia,1
I25.8,Other forms of chronic ischaemic heart disease,1
I25.9,Chronic ischaemic heart disease,1
I21,Acute myocardial infarction,1
I21.0,Acute transmural myocardial infarction of anterior wall,1
I21.1,Acute transmural myocardial infarction of inferior wall,1
I21.2,Acute transmural myocardial infarction of other sites,1
I21.3,Acute transmural myocardial infarction of unspecified site,1
I21.4,Acute subendocardial myocardial infarction,1
I21.9,Acute myocardial infarction,1
I22,Subsequent myocardial infarction,1
I22.0,Subsequent myocardial infarction of anterior wall,1
I22.1,Subsequent myocardial infarction of inferior wall,1
I22.8,Subsequent myocardial infarction of other sites,1
I22.9,Subsequent myocardial infarction of unspecified site,1
I23,Certain current complications following acute myocardial infarction,1
I23.0,Haemopericardium as current complication following acute myocardial infarction,1
I23.1,Atrial septal defect as current complication following acute myocardial infarction,1
I23.2,Ventricular septal defect as current complication following acute myocardial infarction,1
I23.3,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction,1
I23.4,Rupture of chordae tendineae as current complication following acute myocardial infarction,1
I23.5,Rupture of papillary muscle as current complication following acute myocardial infarction,1
I23.6,Thrombosis of atrium,1
I23.8,Other current complications following acute myocardial infarction,1
I24.1,Dressler's syndrome,1
I25.2,Old myocardial infarction,1
I25.7,Atherosclerosis of coronary artery bypass graft(s) and coronary artery of transplanted heart with angina pectoris,1
